cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
350010,250,8,9,419,39,1140,100,7,9,2081
350020,66,3,3,35,3,121,117,1,128,130
350030,329,4,14,445,529,2487,26,6,15,654
350040,1,1,0,2,5,336,2,3,1,29
350050,1,1,0,7,11,165,27,1,2,27
350055,1,1,0,7,7,16,2,0,0,12
350060,2,0,2,15,90,31,6,1,0,8
350070,104,57,2,562,21,776,52,3,39,1693
350080,8,1,0,10,14,33,33,2,1,37
350090,13,0,3,168,4,72,11,3,9,77
350100,18,29,0,14,2,75,26,3,0,22
350110,6,1,10,24,1,68,5,4,0,45
350115,2,1,0,20,9,204,28,1,0,9
350120,13,3,3,23,33,34,24,0,4,61
350130,49,4,45,116,17,354,473,1,1,272
350140,2,1,0,1,1,35,1,2,0,51
350150,12,1,0,1,0,30,3,0,1,2
350160,583,873,171,791,9056,7550,1102,23,21,4867
350170,96,535,24,91,89,755,179,35,45,2729
350180,17,4,2,97,63,69,14,4,5,365
350190,35,33,9,33,274,6754,36,15,26,95
350200,2,0,0,1,4,126,4,0,0,18
350210,791,384,201,3519,52,1864,1428,24,1378,4839
350220,4,0,3,2,1,214,131,4,5,23
350230,1,0,8,1,0,116,3,0,1,7
350240,1,0,0,16,0,102,91,0,0,11
350250,8,57,464,42,107,1537,54,4,3,134
350260,38,62,2,56,51,228,113,1,2,63
350270,2,0,0,4,0,28,7,0,0,5
350275,5,2,0,8,18,235,18,1,0,27
350280,12170,80,574,631,1883,1734,752,111,72,7877
350290,6,5,3,130,48,503,24,4,7,9
350300,90,219,55,202,1,8,26,1,100,259
350320,1345,2613,147,900,1698,5544,1871,115,1206,23315
350330,232,270,12,1307,134,2742,412,29,17,659
350335,11,0,0,32,5,14,5,1,0,36
350340,6,7,0,10,6,360,19,1,0,220
350350,1,2,0,23,5,11,5,1,3,7
350360,2,1,2,0,2,461,2,1,0,13
350370,166,3,2,30,1,221,21,4,5,56
350380,249,33,9,475,111,981,161,14,125,186
350390,348,18,6,24,236,1522,211,117,96,611
350395,2,1,0,8,9,50,8,0,1,21
350400,526,530,7,949,983,4767,134,21,11,2532
350410,59,115,12,62,1362,1015,111,73,155,427
350420,96,7,7,49,60,230,125,8,2,613
350440,173,5,6,157,17,143,29,5,10,167
350450,9,9,0,10,3,267,13,2,2,19
350460,493,24,2,246,41,914,271,31,98,1598
350470,2,0,0,30,0,22,2,0,0,49
350480,171,5,4,164,7,395,93,4,5,444
350490,55,27,0,122,7,397,11,0,1,26
350500,1,0,0,0,6,4,0,0,0,0
350510,55,0,32,133,37,131,9,4,2,201
350520,19,150,2,33,222,121,7,7,1,180
350530,11,9,2,12,79,90,24,0,1,157
350550,1088,1175,397,4334,50,834,1383,13,239,5506
350560,174,126,16,440,28,182,404,34,79,981
350570,207,229,61,243,890,6455,55,5,8,217
350580,48,7,2,34,26,466,92,6,2,364
350590,91,283,5,177,17,597,4260,6,10,575
350600,633,4362,37,7462,410,8558,1400,77,197,26341
350610,513,128,12,917,700,6322,101,11,95,685
350620,18,1,3,28,12,16,19,0,0,23
350635,778,44,25,330,742,557,812,13,15,50
350640,89,2,17,89,47,215,344,4,9,811
350650,730,132,159,367,3871,4588,4792,85,33,7941
350670,28,22,0,128,805,123,41,2,3,443
350680,1,11,0,6,56,81,11,0,2,134
350700,12,11,4,33,3,906,20,2,1,317
350710,2,1,1,6,24,429,8,7,19,23
350720,1,0,0,19,1,37,2,2,1,8
350740,186,101,214,45,12,577,123,1,5,632
350745,1,1,0,2,0,7,0,0,2,78
350750,25,30,6,27,20,751,106,6,6,100
350760,40,21,10,32,298,694,248,5,15,51
350770,14,0,9,5,38,178,20,1,7,90
350775,5,0,1,10,24,18,20,0,10,36
350780,200,148,2,119,13,317,355,6,9,1210
350790,109,13,258,7,219,266,17,4,7,266
350810,100,10,70,302,1566,823,589,9,1,723
350820,8,15,6,84,0,2,89,1,22,173
350830,1,1,0,9,0,104,4,0,0,30
350840,8,3,6,6,22,264,112,14,26,104
350850,346,73,31,66,301,1226,60,33,35,1054
350860,148,460,41,363,21,465,49,14,36,150
350880,28,16,2,45,29,226,48,2,1,278
350890,1,0,0,8,2,25,43,1,1,95
350900,27,48,16,127,232,524,77,26,21,117
350920,19,64,14,55,257,3396,300,37,23,472
350925,143,197,2,510,5,37,42,12,1,31
350930,9,177,12,119,93,169,67,3,4,323
350940,277,37,2,42,4,887,28,11,6,54
350950,2911,3362,1136,7281,42780,66758,3506,177,316,26363
350960,17,15,14,127,1107,1024,25,7,15,200
350970,3,4,5,2,9,11,30,7,0,12
350980,8,3,0,5,4,32,4,0,0,182
350990,2,1,1,240,20,186,31,2,2,62
351000,59,48,5,84,114,4341,52,10,3,238
351010,33,22,3,9,0,33,75,1,5,39
351015,2,1,0,2,12,26,2,1,0,45
351020,4,3,2,3,21,115,12,2,1,12
351030,2,2,2,13,7,68,46,2,1,41
351040,91,40,13,140,34,1226,312,9,0,337
