cod_ibge,year,diarrhea,population,incidence_diarrhea
350010,2010,27.0,33482.79,80.63844142020423
350010,2011,13.0,33821.0,38.437657076964015
350010,2012,26.0,33843.0,76.82534054309606
350010,2013,35.0,34953.0,100.13446628329471
350010,2014,30.0,35001.0,85.71183680466272
350010,2015,34.0,35048.0,97.00981511070532
350010,2016,53.0,35094.0,151.0229668889269
350010,2017,39.0,35139.0,110.98779134295228
350010,2018,36.0,35023.0,102.7895954087314
350010,2019,26.0,35068.0,74.14166761720087
350020,2010,0.0,3512.52,0.0
350020,2011,0.0,3548.0,0.0
350020,2012,0.0,3538.0,0.0
350020,2013,0.0,3639.0,0.0
350020,2014,3.0,3631.0,82.62186725419994
350020,2015,0.0,3623.0,0.0
350020,2016,0.0,3616.0,0.0
350020,2017,1.0,3609.0,27.70850651149903
350020,2018,0.0,3571.0,0.0
350020,2019,0.0,3562.0,0.0
350030,2010,19.0,32127.48,59.13940340169848
350030,2011,35.0,32452.0,107.85159620362381
350030,2012,64.0,32745.0,195.4496869751107
350030,2013,9.0,34188.0,26.325026325026325
350030,2014,0.0,34530.0,0.0
350030,2015,2.0,34863.0,5.736740957462066
350030,2016,0.0,35189.0,0.0
350030,2017,0.0,35508.0,0.0
350030,2018,1.0,35954.0,2.7813317016187353
350030,2019,2.0,36305.0,5.508883073956755
350040,2010,1.0,7542.809999999999,13.257658617942122
350040,2011,0.0,7619.0,0.0
350040,2012,0.0,7653.0,0.0
350040,2013,2.0,7942.0,25.182573659027952
350040,2014,0.0,7984.0,0.0
350040,2015,0.0,8025.0,0.0
350040,2016,1.0,8065.0,12.399256044637323
350040,2017,0.0,8104.0,0.0
350040,2018,1.0,8137.0,12.289541600098316
350040,2019,1.0,8180.0,12.224938875305622
350050,2010,9.0,17180.46,52.38509329785117
350050,2011,7.0,17354.0,40.336521839345394
350050,2012,3.0,17438.0,17.203807776121117
350050,2013,26.0,18108.0,143.5829467638613
350050,2014,7.0,18212.0,38.436195914781464
350050,2015,26.0,18313.0,141.97564571615794
350050,2016,33.0,18412.0,179.23093634586138
350050,2017,22.0,18509.0,118.86109460262574
350050,2018,19.0,18599.0,102.15602989408032
350050,2019,15.0,18705.0,80.1924619085806
350055,2010,2.0,5573.7,35.88280675314423
350055,2011,0.0,5630.0,0.0
350055,2012,0.0,5658.0,0.0
350055,2013,0.0,5876.0,0.0
350055,2014,1.0,5911.0,16.91761123329386
350055,2015,0.0,5944.0,0.0
350055,2016,2.0,5977.0,33.461602810774636
350055,2017,3.0,6009.0,49.92511233150275
350055,2018,1.0,6040.0,16.556291390728475
350055,2019,1.0,6075.0,16.46090534979424
350060,2010,0.0,2743.29,0.0
350060,2011,0.0,2771.0,0.0
350060,2012,0.0,2832.0,0.0
350060,2013,1.0,3004.0,33.288948069241016
350060,2014,0.0,3073.0,0.0
350060,2015,1.0,3139.0,31.857279388340235
350060,2016,0.0,3205.0,0.0
350060,2017,1.0,3268.0,30.59975520195838
350060,2018,0.0,3380.0,0.0
350060,2019,1.0,3451.0,28.977108084613157
350070,2010,39.0,34334.19,113.5893987887875
350070,2011,31.0,34681.0,89.38611920071509
350070,2012,46.0,34833.0,132.0586799873683
350070,2013,32.0,36150.0,88.52005532503458
350070,2014,31.0,36339.0,85.30779603181155
350070,2015,37.0,36524.0,101.30325265578799
350070,2016,77.0,36704.0,209.78639930252834
350070,2017,20.0,36880.0,54.229934924078094
350070,2018,16.0,37023.0,43.216379007643894
350070,2019,9.0,37214.0,24.18444671360241
350075,2010,0.0,4929.21,0.0
350075,2011,0.0,4979.0,0.0
350075,2012,1.0,5071.0,19.7199763360284
350075,2013,0.0,5356.0,0.0
350075,2014,0.0,5460.0,0.0
350075,2015,0.0,5560.0,0.0
350075,2016,1.0,5658.0,17.674089784376104
350075,2017,0.0,5754.0,0.0
350075,2018,0.0,5918.0,0.0
350075,2019,0.0,6025.0,0.0
350080,2010,0.0,3866.94,0.0
350080,2011,1.0,3906.0,25.60163850486431
350080,2012,1.0,3921.0,25.50369803621525
350080,2013,1.0,4064.0,24.606299212598426
350080,2014,1.0,4083.0,24.49179524859172
350080,2015,1.0,4101.0,24.384296513045598
350080,2016,1.0,4118.0,24.283632831471586
350080,2017,6.0,4135.0,145.10278113663847
350080,2018,3.0,4147.0,72.34145165179648
350080,2019,3.0,4166.0,72.01152184349496
350090,2010,4.0,3798.63,105.30112172019912
350090,2011,4.0,3837.0,104.24811050299714
350090,2012,8.0,3859.0,207.30759264058048
350090,2013,1.0,4010.0,24.937655860349125
350090,2014,6.0,4035.0,148.6988847583643
350090,2015,2.0,4060.0,49.26108374384236
350090,2016,1.0,4085.0,24.479804161566708
350090,2017,0.0,4109.0,0.0
350090,2018,0.0,4134.0,0.0
350090,2019,0.0,4160.0,0.0
