cod_ibge,fire_incidence_mean,fire_incidence_max,fire_frp_mean,fire_frp_max,fire_total_foci,fire_frp_total,fire_years_with_fire,fire_recurrence,fire_cv,fire_dry_season_pct,fire_max_consecutive_years,fire_recurrence_norm,fire_risk_index
350010,3.75,16.0,62.74270833333334,650.3,30.0,2809.4,8.0,0.8,1.3503673809345602,0.7666666666666667,6.0,0.8,37.30520047334106
350020,1.6,3.0,39.22666666666667,134.5,8.0,419.2,5.0,0.5,0.5590169943749473,0.875,3.0,0.5,22.742383494814263
350030,18.0,39.0,38.221425309440015,484.7,180.0,7060.599999999999,10.0,1.0,0.5647389141472927,0.6611111111111111,10.0,1.0,50.26428477413209
350040,2.5,5.0,22.355,102.4,15.0,447.4,6.0,0.6,0.7899367063252599,0.9333333333333333,2.0,0.6,23.641088850500626
350050,2.8,5.0,16.795333333333335,53.7,14.0,273.5,5.0,0.5,0.5297284633639759,0.9285714285714286,2.0,0.5,19.951306478374637
350055,10.0,29.0,54.110146423668745,368.5,100.0,5702.5,10.0,1.0,0.8069145624606803,0.82,10.0,1.0,46.70935955321009
350060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
350070,9.1,19.0,30.739502658160553,292.5,91.0,3184.2,10.0,1.0,0.5637932647126719,0.7032967032967034,10.0,1.0,42.137770096861864
350075,2.142857142857143,5.0,24.145714285714284,115.2,15.0,340.3,7.0,0.7,0.6831300510639733,0.7333333333333333,5.0,0.7,26.661701404488873
350080,1.0,1.0,16.1,16.1,1.0,16.1,1.0,0.1,,1.0,1.0,0.1,6.443358057311707
350090,10.875,28.0,87.64428100086188,887.9,87.0,9481.4,8.0,0.8,0.8097885570474103,0.7011494252873564,6.0,0.8,46.9468924973518
350100,13.7,27.0,44.01192314386394,475.0,137.0,6102.2,10.0,1.0,0.5419294988916848,0.7664233576642335,10.0,1.0,47.89756545803389
350110,3.0,9.0,27.50173611111111,146.8,24.0,1035.6000000000001,8.0,0.8,0.8908708063747479,0.75,4.0,0.8,30.88135557364673
350115,4.222222222222222,8.0,19.821560846560846,94.9,38.0,819.6999999999999,9.0,0.9,0.6241337487174433,0.9736842105263158,9.0,0.9,33.55347367498565
350120,6.777777777777778,22.0,47.54634920634921,827.5,61.0,4070.3,9.0,0.9,0.932482879960256,0.8852459016393442,6.0,0.9,40.12795106777887
350130,1.1666666666666667,2.0,34.166666666666664,108.9,7.0,216.7,6.0,0.6,0.34992710611188255,1.0,4.0,0.6,24.568078773145384
350140,2.6666666666666665,4.0,27.505555555555556,44.3,8.0,214.0,3.0,0.3,0.5728219618694801,0.75,1.0,0.3,15.62409077459202
350150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
350160,4.888888888888889,11.0,17.669022366522366,46.8,44.0,781.9,9.0,0.9,0.6423219436846626,0.7954545454545454,5.0,0.9,33.712341129803846
350170,3.375,8.0,57.26770833333333,245.0,27.0,1609.5,8.0,0.8,0.7417981870189158,0.8148148148148148,4.0,0.8,36.10721361256098
350180,8.6,16.0,97.58291666666666,631.8,43.0,5410.1,5.0,0.5,0.6505395688697378,0.9534883720930233,2.0,0.5,37.83473866111556
350190,14.6,47.0,30.873923052311632,279.7,146.0,5222.7,10.0,1.0,0.9682088241606263,0.958904109589041,10.0,1.0,46.41537851550702
350200,8.555555555555555,20.0,21.834836601307188,119.9,77.0,2106.9,9.0,0.9,0.8267179937892057,0.6103896103896104,5.0,0.9,37.23998596021638
350210,17.9,46.0,113.32309676417552,1472.5,179.0,19782.899999999998,10.0,1.0,0.7366632582712536,0.8379888268156425,10.0,1.0,62.64009568185185
350220,6.222222222222222,10.0,30.269947089947095,429.6,56.0,1953.3000000000002,9.0,0.9,0.5255736661700513,0.6785714285714286,5.0,0.9,36.83338898613936
350230,4.571428571428571,12.0,36.769557823129254,502.5,32.0,2112.0,7.0,0.7,0.9006652633840537,0.9375,6.0,0.7,30.63392917477537
350240,4.333333333333333,6.0,65.38333333333334,582.7,13.0,1099.5,3.0,0.3,0.3525058226889108,0.8461538461538461,1.0,0.3,23.194384351544567
350250,2.0,4.0,23.378124999999997,81.6,16.0,366.9,8.0,0.8,0.4629100498862757,0.875,6.0,0.8,29.4238938066264
350260,2.142857142857143,7.0,14.124489795918368,20.2,15.0,189.6,7.0,0.7,1.0234292390817292,0.6666666666666666,4.0,0.7,25.000005819693182
350270,7.555555555555555,14.0,19.09645061728395,190.5,68.0,1352.6,9.0,0.9,0.3976710965585282,0.9117647058823529,8.0,0.9,36.01221892560862
350275,7.7,19.0,18.6702850877193,149.3,77.0,1844.2,10.0,1.0,0.7983463353226498,0.8961038961038961,10.0,1.0,39.05330902861462
350280,22.0,53.0,91.00509539525513,2037.7,220.0,24075.6,10.0,1.0,0.7212503172976912,0.8818181818181818,10.0,1.0,62.11152483498812
350290,2.5555555555555554,4.0,18.104629629629628,59.4,23.0,424.19999999999993,9.0,0.9,0.4423258684646915,0.8695652173913043,5.0,0.9,31.979285577340338
350300,10.2,37.0,60.55106347256346,464.4,102.0,6896.0,10.0,1.0,1.018643754023962,0.9117647058823529,10.0,1.0,47.93211596085592
350310,3.75,8.0,56.62,547.0,30.0,1772.3999999999999,8.0,0.8,0.6647591758710533,0.7666666666666667,6.0,0.8,36.289947555411565
350315,2.6666666666666665,5.0,33.82333333333333,80.1,16.0,534.1,6.0,0.6,0.6982120021884471,1.0,3.0,0.6,25.671689643347374
350320,33.7,84.0,71.35968823415148,2147.9,337.0,30327.7,10.0,1.0,0.7693609174303707,0.8486646884272997,10.0,1.0,67.90619456577234
350330,23.7,36.0,35.506274256454866,549.6,237.0,8252.0,10.0,1.0,0.3742636911395486,0.759493670886076,10.0,1.0,54.22412291826267
350335,2.25,4.0,58.075,319.0,9.0,793.8000000000001,4.0,0.4,0.5592469952052407,0.8888888888888888,2.0,0.4,23.37067060504597
350340,5.3,18.0,32.894999999999996,457.3,53.0,3215.7,10.0,1.0,0.941507543386766,0.7924528301886793,10.0,1.0,39.55515084922016
350350,8.7,16.0,19.219996212121213,61.5,87.0,1672.5,10.0,1.0,0.531035035632449,0.8850574712643678,10.0,1.0,39.91815520914019
350360,2.5714285714285716,7.0,29.130612244897957,209.0,18.0,540.6,7.0,0.7,0.8357988219553153,0.8333333333333334,4.0,0.7,27.819868625560893
350370,4.75,8.0,59.93400297619048,200.8,38.0,2219.7,8.0,0.8,0.5927940855466775,1.0,7.0,0.8,37.61316202914132
350380,4.1,7.0,17.051214285714288,61.5,41.0,805.1,10.0,1.0,0.46632944389268255,0.7317073170731707,10.0,1.0,35.99953875658733
350390,3.3333333333333335,6.0,11.364814814814814,38.9,30.0,357.9,9.0,0.9,0.44999999999999996,0.9666666666666667,9.0,0.9,31.463467835845403
350395,1.8333333333333333,4.0,23.3125,47.9,11.0,230.1,6.0,0.6,0.7249964377227959,0.36363636363636365,3.0,0.6,23.28406296025741
350400,3.4444444444444446,6.0,32.637962962962966,194.7,31.0,1300.4,9.0,0.9,0.6509818087293731,0.7741935483870968,6.0,0.9,35.076896654738135
350410,19.7,33.0,16.866925515348285,81.3,197.0,3330.0,10.0,1.0,0.4839669618904784,0.934010152284264,10.0,1.0,48.03861292663324
350420,5.0,17.0,49.386049019607846,235.6,50.0,2388.7,10.0,1.0,0.9237604307034012,0.66,10.0,1.0,42.05754901596207
350430,5.25,14.0,29.97529761904762,168.9,42.0,1453.3,8.0,0.8,0.8318256526602871,0.7142857142857143,6.0,0.8,33.03232803256
350440,8.666666666666666,19.0,93.3435164299638,826.2,78.0,6976.299999999999,9.0,0.9,0.6213651700539813,0.8205128205128205,5.0,0.9,49.183351033741886
350450,8.7,20.0,26.071118742368743,340.7,87.0,2446.0,10.0,1.0,0.581189556788851,0.8735632183908046,10.0,1.0,41.05419203487928
350460,2.6,4.0,53.245000000000005,171.6,13.0,792.9,5.0,0.5,0.5160156871153361,1.0,2.0,0.5,25.84056454181764
350470,1.8,3.0,31.476666666666667,86.4,9.0,325.4,5.0,0.5,0.4648111258522642,0.5555555555555556,2.0,0.5,21.612035825372345
350480,2.375,8.0,30.1328125,231.0,19.0,826.0,8.0,0.8,1.0049344028032252,0.7368421052631579,4.0,0.8,30.834075401775856
350490,5.857142857142857,11.0,25.67378787878788,124.5,41.0,1042.5,7.0,0.7,0.5613289802539795,0.926829268292683,3.0,0.7,29.788804952073367
350500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
350510,2.5555555555555554,5.0,29.011296296296297,110.1,23.0,714.7,9.0,0.9,0.5217391304347826,0.8695652173913043,5.0,0.9,33.78780307570519
350520,6.333333333333333,16.0,29.746826599326596,145.4,57.0,1846.3999999999999,9.0,0.9,0.812812905867395,0.6842105263157895,5.0,0.9,36.83261243532478
350530,3.2222222222222223,8.0,28.99611111111111,79.9,29.0,877.1,9.0,0.9,0.8029745532548288,1.0,6.0,0.9,34.30108136493016
350535,3.111111111111111,8.0,12.074351851851851,33.2,28.0,348.6,9.0,0.9,0.7266782124777073,0.8928571428571429,5.0,0.9,31.409189491124174
350540,16.0,29.0,15.98396084078006,132.0,160.0,2763.1,10.0,1.0,0.5825888105878985,0.75,10.0,1.0,45.02953258094908
350550,37.6,89.0,77.03831926950342,1692.5,376.0,37009.4,10.0,1.0,0.5989392145176232,0.7686170212765957,10.0,1.0,71.86521976727052
350560,4.5,9.0,34.426388888888894,630.9,45.0,2290.1000000000004,10.0,1.0,0.6393583889493358,0.6222222222222222,10.0,1.0,39.19012659603245
