"cod_ibge","deng_2010","deng_2011","deng_2012","deng_2013","deng_2014","deng_2015","deng_2016","deng_2017","deng_2018","deng_2019","leiv_2010","leiv_2011","leiv_2012","leiv_2013","leiv_2014","leiv_2015","leiv_2016","leiv_2017","leiv_2018","leiv_2019","lept_2010","lept_2011","lept_2012","lept_2013","lept_2014","lept_2015","lept_2016","lept_2017","lept_2018","lept_2019","ltan_2010","ltan_2011","ltan_2012","ltan_2013","ltan_2014","ltan_2015","ltan_2016","ltan_2017","ltan_2018","ltan_2019","mala_2010","mala_2011","mala_2012","mala_2013","mala_2014","mala_2015","mala_2016","mala_2017","mala_2018","mala_2019"
"350010",250,8,9,419,39,1140,100,7,9,2081,25,19,17,11,11,25,12,16,12,15,3,2,0,2,6,12,5,11,1,3,0,0,1,2,1,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0
"350020",66,3,3,35,3,121,117,1,128,130,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"350030",329,4,14,445,529,2487,26,6,15,654,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"350040",1,1,0,2,5,336,2,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350050",1,1,0,7,11,165,27,1,2,27,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,2,1,0,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"350055",1,1,0,7,7,16,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"350060",2,0,2,15,90,31,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350070",104,57,2,562,21,776,52,3,39,1693,5,1,2,1,2,0,1,1,0,1,0,2,2,1,0,6,1,1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"350080",8,1,0,10,14,33,33,2,1,37,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350090",13,0,3,168,4,72,11,3,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350100",18,29,0,14,2,75,26,3,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"350110",6,1,10,24,1,68,5,4,0,45,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"350115",2,1,0,20,9,204,28,1,0,9,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,1,0,3,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0
"350120",13,3,3,23,33,34,24,0,4,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350130",49,4,45,116,17,354,473,1,1,272,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350140",2,1,0,1,1,35,1,2,0,51,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350150",12,1,0,1,0,30,3,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"350160",583,873,171,791,9056,7550,1102,23,21,4867,0,0,0,0,0,0,0,0,0,1,22,29,18,20,27,16,28,12,19,25,1,3,2,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0
"350170",96,535,24,91,89,755,179,35,45,2729,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,0,5,2,1,0,1,1,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0
"350180",17,4,2,97,63,69,14,4,5,365,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"350190",35,33,9,33,274,6754,36,15,26,95,0,0,0,0,0,0,0,0,0,0,10,21,12,17,21,27,28,29,43,62,0,0,2,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0
"350200",2,0,0,1,4,126,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350210",791,384,201,3519,52,1864,1428,24,1378,4839,2,6,14,6,25,22,16,11,29,14,0,0,0,0,1,0,1,1,0,0,1,0,0,3,0,2,2,4,1,1,2,1,1,1,0,0,0,0,0,2
"350220",4,0,3,2,1,214,131,4,5,23,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,2,2,1,4,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"350230",1,0,8,1,0,116,3,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"350240",1,0,0,16,0,102,91,0,0,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350250",8,57,464,42,107,1537,54,4,3,134,0,0,0,0,0,0,0,0,1,0,5,0,0,2,2,5,2,3,1,5,0,2,1,3,2,1,0,3,2,1,0,0,0,0,0,0,0,0,2,0
"350260",38,62,2,56,51,228,113,1,2,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6,0
"350270",2,0,0,4,0,28,7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,1,4,1,2,0,1,0,1,1,0,1,4,1,0,1,0,0,0,0,1,0,0
"350275",5,2,0,8,18,235,18,1,0,27,0,0,0,0,0,0,0,0,0,0,5,5,1,2,2,2,3,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"350280",12170,80,574,631,1883,1734,752,111,72,7877,8,13,12,8,20,5,14,18,46,43,2,1,0,0,0,1,2,4,1,2,1,1,3,0,0,1,0,2,3,5,2,2,2,2,1,1,3,0,1,1
"350290",6,5,3,130,48,503,24,4,7,9,0,0,0,0,0,0,0,1,1,1,1,0,3,1,3,4,3,4,3,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"350300",90,219,55,202,1,8,26,1,100,259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350320",1345,2613,147,900,1698,5544,1871,115,1206,23315,1,0,0,0,1,0,1,1,0,0,2,4,7,8,3,8,8,10,6,7,2,0,2,2,2,0,3,0,0,1,1,0,3,3,0,0,0,1,1,0
"350330",232,270,12,1307,134,2742,412,29,17,659,0,0,0,0,0,0,0,0,0,0,10,13,6,9,22,19,13,30,44,26,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"350335",11,0,0,32,5,14,5,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350340",6,7,0,10,6,360,19,1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
