cod_ibge,nome_municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019,leiv_2010,leiv_2011,leiv_2012,leiv_2013,leiv_2014,leiv_2015,leiv_2016,leiv_2017,leiv_2018,leiv_2019,lept_2010,lept_2011,lept_2012,lept_2013,lept_2014,lept_2015,lept_2016,lept_2017,lept_2018,lept_2019,ltan_2010,ltan_2011,ltan_2012,ltan_2013,ltan_2014,ltan_2015,ltan_2016,ltan_2017,ltan_2018,ltan_2019,mala_2010,mala_2011,mala_2012,mala_2013,mala_2014,mala_2015,mala_2016,mala_2017,mala_2018,mala_2019
350010,Adamantina,35035,Adamantina,3508,Presidente Prudente,250,8,9,419,39,1140,100,7,9,2081,25,19,17,11,11,25,12,16,12,15,3,2,0,2,6,12,5,11,1,3,0,0,1,2,1,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0
350020,Adolfo,35004,São José do Rio Preto,3501,São José do Rio Preto,66,3,3,35,3,121,117,1,128,130,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
350030,Aguaí,35029,Pirassununga,3507,Campinas,329,4,14,445,529,2487,26,6,15,654,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350040,Águas da Prata,35030,São João da Boa Vista,3507,Campinas,1,1,0,2,5,336,2,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350050,Águas de Lindóia,35033,Amparo,3507,Campinas,1,1,0,7,11,165,27,1,2,27,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,2,1,0,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
350055,Águas de Santa Bárbara,35022,Avaré,3504,Bauru,1,1,0,7,7,16,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
350060,Águas de São Pedro,35028,Piracicaba,3506,Piracicaba,2,0,2,15,90,31,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350070,Agudos,35020,Bauru,3504,Bauru,104,57,2,562,21,776,52,3,39,1693,5,1,2,1,2,0,1,1,0,1,0,2,2,1,0,6,1,1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
350080,Alfredo Marcondes,35036,Presidente Prudente,3508,Presidente Prudente,8,1,0,10,14,33,33,2,1,37,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350090,Altair,35004,São José do Rio Preto,3501,São José do Rio Preto,13,0,3,168,4,72,11,3,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350100,Altinópolis,35015,Batatais,3502,Ribeirão Preto,18,29,0,14,2,75,26,3,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
350110,Alto Alegre,35018,Birigui,3503,Araçatuba,6,1,10,24,1,68,5,4,0,45,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350115,Alumínio,35046,Sorocaba,3512,Macro Metropolitana Paulista,2,1,0,20,9,204,28,1,0,9,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,1,0,3,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0
350120,Álvares Florence,35003,Votuporanga,3501,São José do Rio Preto,13,3,3,23,33,34,24,0,4,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350130,Álvares Machado,35036,Presidente Prudente,3508,Presidente Prudente,49,4,45,116,17,354,473,1,1,272,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350140,Álvaro de Carvalho,35038,Marília,3509,Marília,2,1,0,1,1,35,1,2,0,51,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350150,Alvinlândia,35038,Marília,3509,Marília,12,1,0,1,0,30,3,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
350160,Americana,35032,Campinas,3507,Campinas,583,873,171,791,9056,7550,1102,23,21,4867,0,0,0,0,0,0,0,0,0,1,22,29,18,20,27,16,28,12,19,25,1,3,2,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0
350170,Américo Brasiliense,35024,Araraquara,3505,Araraquara,96,535,24,91,89,755,179,35,45,2729,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,0,5,2,1,0,1,1,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0
350180,Américo de Campos,35003,Votuporanga,3501,São José do Rio Preto,17,4,2,97,63,69,14,4,5,365,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
350190,Amparo,35033,Amparo,3507,Campinas,35,33,9,33,274,6754,36,15,26,95,0,0,0,0,0,0,0,0,0,0,10,21,12,17,21,27,28,29,43,62,0,0,2,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0
350200,Analândia,35025,São Carlos,3505,Araraquara,2,0,0,1,4,126,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350210,Andradina,35016,Andradina,3503,Araçatuba,791,384,201,3519,52,1864,1428,24,1378,4839,2,6,14,6,25,22,16,11,29,14,0,0,0,0,1,0,1,1,0,0,1,0,0,3,0,2,2,4,1,1,2,1,1,1,0,0,0,0,0,2
350220,Angatuba,35042,Itapetininga,3511,Itapetininga,4,0,3,2,1,214,131,4,5,23,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,2,2,1,4,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350230,Anhembi,35023,Botucatu,3504,Bauru,1,0,8,1,0,116,3,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350240,Anhumas,35036,Presidente Prudente,3508,Presidente Prudente,1,0,0,16,0,102,91,0,0,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
