cod_ibge,year,cases_deng,cases_lept,cases_mala,cases_leiv,cases_ltan
350010,2010,555,4,0,27,0
350020,2010,76,0,0,0,0
350030,2010,408,0,0,0,0
350040,2010,3,0,0,0,0
350050,2010,2,0,0,0,0
350055,2010,4,0,0,0,0
350070,2010,196,0,0,0,0
350080,2010,9,1,0,0,0
350090,2010,27,0,0,0,0
350100,2010,25,0,0,0,0
350110,2010,13,0,0,0,0
350115,2010,5,1,0,0,0
350120,2010,25,0,0,0,0
350130,2010,89,0,0,0,0
350140,2010,6,0,0,0,0
350150,2010,126,1,0,0,0
350160,2010,1261,29,0,0,1
350170,2010,211,4,0,2,0
350180,2010,15,0,0,0,0
350190,2010,138,10,0,0,0
350200,2010,1,0,0,0,0
350210,2010,1147,0,2,4,0
350220,2010,9,0,0,0,1
350230,2010,7,0,0,0,0
350240,2010,1,0,0,0,0
350250,2010,27,5,0,0,0
350260,2010,58,0,0,0,0
350275,2010,11,2,0,0,0
350280,2010,15139,5,3,29,0
350290,2010,38,0,0,0,1
350300,2010,126,0,0,0,0
350320,2010,2398,1,0,0,2
350330,2010,434,12,0,0,1
350335,2010,33,0,0,0,0
350340,2010,13,0,0,0,0
350350,2010,2,0,0,0,0
350360,2010,2,0,0,0,0
350370,2010,223,0,0,0,0
350380,2010,304,7,0,0,0
350390,2010,389,35,0,0,0
350395,2010,2,0,0,0,0
350400,2010,1139,25,0,0,0
350410,2010,120,23,0,1,0
350420,2010,126,0,0,0,0
350430,2010,2,0,0,0,0
350440,2010,178,0,0,0,0
350450,2010,32,0,0,0,0
350460,2010,464,0,0,0,0
350470,2010,8,0,0,0,0
350480,2010,261,0,0,0,0
350490,2010,71,0,0,0,0
350500,2010,2,0,0,0,0
350510,2010,125,0,0,0,0
350520,2010,60,1,0,0,0
350530,2010,64,1,0,0,0
350550,2010,1385,4,0,0,1
350560,2010,254,0,0,0,0
350570,2010,1014,67,2,0,1
350580,2010,119,0,0,1,0
350590,2010,193,4,0,0,3
350600,2010,1200,7,2,68,0
350610,2010,771,6,0,0,1
350620,2010,35,0,0,0,0
350630,2010,2,0,0,0,0
350635,2010,1081,8,0,0,1
350640,2010,173,0,0,0,0
350650,2010,1110,2,0,6,1
350660,2010,1,2,0,0,0
350670,2010,89,0,0,0,0
350680,2010,6,0,0,0,0
350690,2010,3,0,0,0,0
350700,2010,28,0,0,0,0
350710,2010,2,1,0,0,0
350720,2010,14,0,0,0,0
350730,2010,7,0,0,0,0
350740,2010,323,0,0,0,0
350745,2010,4,0,0,0,0
350750,2010,139,54,1,0,2
350760,2010,139,34,2,0,2
350770,2010,25,0,0,0,0
350775,2010,5,0,0,0,0
350780,2010,334,0,0,0,0
350790,2010,169,0,0,0,0
350800,2010,1,0,0,0,0
350810,2010,189,0,0,0,0
350820,2010,24,0,0,0,0
350830,2010,2,0,0,0,0
350840,2010,15,0,0,0,1
350850,2010,564,3,1,0,0
350860,2010,230,0,0,1,1
350870,2010,3,0,0,0,2
350880,2010,53,0,0,0,0
350890,2010,2,0,0,0,0
350900,2010,65,6,0,0,2
350910,2010,3,0,0,0,0
350920,2010,37,2,0,0,1
350925,2010,162,5,0,0,1
350930,2010,40,0,0,0,0
350940,2010,359,0,0,0,0
350950,2010,10961,430,36,9,16
350960,2010,37,6,0,0,1
350970,2010,11,0,0,0,0
350980,2010,14,0,0,0,0
351000,2010,225,40,1,0,0
351010,2010,64,0,0,0,0
351015,2010,2,0,0,0,0
351020,2010,17,0,0,0,0
351030,2010,3,0,0,0,0
351040,2010,218,31,0,0,1
351050,2010,4308,2,2,0,0
351060,2010,104,16,0,0,2
351070,2010,204,0,0,0,0
351080,2010,102,1,0,0,0
351090,2010,3,0,0,0,0
351100,2010,348,0,0,1,0
351110,2010,1914,19,0,2,2
351120,2010,20,0,0,0,0
351130,2010,161,0,0,0,0
351140,2010,4,0,0,0,0
351150,2010,9,0,0,0,0
351160,2010,1,0,0,0,0
351170,2010,44,1,0,0,0
351190,2010,40,0,0,0,0
351200,2010,112,0,0,0,0
351210,2010,100,0,0,0,0
351220,2010,35,2,0,1,0
351230,2010,19,0,0,0,0
351240,2010,52,8,0,0,0
351250,2010,128,0,0,0,0
351270,2010,7,1,0,0,0
351280,2010,715,1,0,0,1
351290,2010,380,0,0,0,0
351300,2010,44,15,2,0,0
351310,2010,628,0,0,0,0
351320,2010,2,0,0,0,0
351330,2010,1,0,0,0,0
351340,2010,245,11,1,0,0
351350,2010,2029,15,1,3,1
351360,2010,4,0,0,0,0
351370,2010,75,0,0,0,0
351380,2010,491,89,0,0,0
351385,2010,11,0,0,0,0
351390,2010,6,0,0,0,0
351400,2010,146,0,0,0,0
351410,2010,31,0,0,0,0
351420,2010,13,0,0,0,0
351430,2010,5,0,0,0,0
351440,2010,475,2,0,17,3
351450,2010,88,0,0,0,0
351460,2010,271,0,0,0,0
351470,2010,4,0,0,0,0
351480,2010,98,0,0,0,5
351490,2010,3,0,0,0,2
351492,2010,12,0,0,0,0
351495,2010,6,0,0,0,0
351500,2010,299,13,0,0,0
351510,2010,18,3,0,0,0
351515,2010,26,0,0,0,0
351518,2010,73,0,0,0,1
351519,2010,4,0,0,0,0
351520,2010,111,0,0,0,0
351530,2010,2,0,0,0,0
351535,2010,57,0,0,0,0
351540,2010,8,2,0,0,0
351550,2010,1427,12,1,6,1
351560,2010,49,0,0,0,0
351570,2010,30,46,0,0,0
351580,2010,2,0,0,1,0
351590,2010,46,0,0,0,0
351600,2010,133,0,0,0,0
351610,2010,3,0,0,0,0
351620,2010,517,48,0,0,1
351630,2010,27,12,0,0,1
351640,2010,173,9,1,0,3
351650,2010,46,0,0,0,0
351660,2010,4,0,0,0,0
351670,2010,828,1,0,0,0
351680,2010,257,0,0,0,0
351685,2010,10,0,0,0,0
351690,2010,101,0,0,0,0
351700,2010,106,0,0,1,0
351710,2010,121,0,0,0,0
351720,2010,443,0,0,0,0
351730,2010,13,0,0,0,0
351740,2010,432,0,0,0,0
351750,2010,129,0,0,0,0
351760,2010,2,0,0,0,0
351770,2010,238,0,0,0,0
351780,2010,228,0,0,0,0
351790,2010,58,0,0,0,0
351800,2010,19,0,0,0,0
351810,2010,160,0,0,0,0
351820,2010,1202,0,0,2,2
351830,2010,15,12,0,0,1
351840,2010,95,5,1,0,0
351850,2010,1,0,0,0,0
351860,2010,463,0,0,0,0
351870,2010,10127,49,0,0,0
351880,2010,2056,248,2,2,4
351885,2010,19,0,0,0,0
351890,2010,33,0,0,0,0
351900,2010,41,0,0,0,0
351905,2010,4,0,0,0,0
351907,2010,1216,40,0,1,0
351910,2010,78,0,0,0,0
351920,2010,26,0,0,0,0
351925,2010,1,0,0,0,0
351930,2010,49,0,0,1,0
351940,2010,254,0,0,0,0
351950,2010,28,0,0,0,0
351960,2010,1391,0,0,0,0
351970,2010,4,1,0,0,2
351980,2010,107,0,0,0,0
351990,2010,12,1,0,0,0
352000,2010,28,0,0,0,0
352010,2010,286,0,0,1,0
352030,2010,616,5,0,0,0
352040,2010,2016,11,2,0,3
352042,2010,19,0,0,0,0
352044,2010,187,0,0,0,0
352050,2010,139,8,0,0,2
352060,2010,5,0,0,0,0
352070,2010,44,0,0,0,0
