cod_ibge,inc_hosp_circ_media,inc_hosp_resp_media,inc_hosp_calor_media,inc_hosp_circ_max,inc_hosp_resp_max,inc_hosp_calor_max,inc_obit_circ_media,inc_obit_resp_media,inc_obit_calor_media,inc_obit_circ_max,inc_obit_resp_max,inc_obit_calor_max,total_hosp_circ,total_hosp_resp,total_hosp_calor,total_obit_circ,total_obit_resp,total_obit_calor
350010,1416.5432617572092,1137.341993762648,0,1875.5904152551204,1995.0547729146824,0,236.30914566995546,113.7116287739086,0,316.5278886734345,165.5775997161527,0,4898,3925,0,820,393,0
350020,1581.7529025829635,1025.359427511513,0,2042.5062103229366,1403.705783267827,0,256.3939411962124,169.65666371793867,0,387.9190911609864,275.40622418066647,0,568,368,0,92,61,0
350030,680.0817500737282,649.210665698825,0,961.9789280806231,1161.7157648218908,0,185.86406025292854,85.16837534968626,0,239.6702137858307,126.20830106416544,0,2316,2194,0,636,293,0
350040,991.7451157106557,740.8581386246791,0,1299.2505445583276,940.8075264602116,0,248.06308243839766,109.20549664795037,0,356.3967064028512,185.0937808489635,0,783,585,0,197,87,0
350050,1291.5640869010406,1118.1892393415862,0,1422.9850097762328,1485.5312569030264,0,278.6058178034874,118.43942154090887,0,336.86768279213607,210.7083040682911,0,2333,2015,0,504,214,0
350055,884.5785981515683,558.2920380602143,0,1177.658142664872,862.7981728979868,0,182.41904602260016,55.86290845018172,0,282.78543655001766,131.6872427983539,0,520,328,0,107,33,0
350060,870.3418876041997,299.7282044895298,3.328894806924102,1274.9927557229787,437.43096792537426,33.288948069241016,279.22909905250214,102.33344877044972,0,466.0452729693742,156.00624024961,0,271,93,1,85,32,0
350070,848.313736399924,915.9173945231444,0,1264.0461301111222,1130.3018944090425,0,180.16410775197508,83.15698276789594,0,218.44115151689903,111.1713665943601,0,3050,3290,0,650,301,0
350075,583.1684018879102,411.53488791511023,0,863.0705394190871,780.0829875518672,0,202.82106080847254,68.14599586709933,0,301.2653143201446,125.89928057553956,0,321,227,0,111,37,0
350080,1335.7387032534407,756.2710214407587,0,1602.7197668771246,930.9686729041567,0,239.98810746315127,121.21739606600227,0,358.42293906810033,241.8379685610641,0,542,306,0,97,49,0
350090,703.4767989603795,840.0212548344139,0,991.775520077407,1088.3648613630473,0,215.7566712983581,94.92007513166445,0,367.1970624235006,234.55824863174357,0,283,337,0,87,38,0
350100,2186.665197655994,1422.3940004482909,0,2537.285723126431,1688.1370534440907,0,215.58252068451273,124.45363064010796,0,271.6217050435212,172.77788443079285,0,3498,2272,0,345,199,0
350110,894.3973087444272,1024.0252086509413,0,1464.9375600384246,1585.014409221902,0,230.1956880125571,125.86904695090762,0,409.2441020702937,170.77335935594047,0,370,423,0,95,52,0
350115,281.99083355777867,219.67578559530364,0,440.70205027695744,312.48157537881025,0,144.53954463514137,72.05614695044228,0,236.34165109376715,100.22993927244856,0,499,390,0,257,128,0
350120,1241.7001720244932,677.2288887771822,0,1670.2586206896551,842.6202772492526,0,227.91212765838756,143.99082138554473,0,365.88393638846424,289.8550724637681,0,473,258,0,87,55,0
350130,959.842300683381,736.82043025697,0,1140.8456677552058,1083.8269458227896,0,205.91982311068153,81.23521429755496,0,248.29045913383263,97.6880494952784,0,2335,1789,0,502,198,0
350140,499.760629747815,928.4715729364923,0,710.4290991759023,1657.6678980771053,0,183.13390571580751,76.29361260716948,0,270.32245607260086,119.28429423459245,0,247,454,0,91,38,0
350150,857.1176099724144,935.6807574560462,0,1090.909090909091,1319.9245757385293,0,237.08065798170963,111.59357234253241,0,408.54808296668756,219.98742928975489,0,268,293,0,74,35,0
350160,395.006275140702,309.89978001596023,0,501.89043914300095,426.239831571824,0,145.99314145690545,79.42151011015676,0,174.5216942100683,91.68206335835588,0,8906,6950,0,3288,1791,0
350170,517.4921713463411,541.0110344983929,0,649.3185858186846,804.8587793798143,0,139.36136464079348,64.34990170349315,0,175.38348777550914,90.43693961396347,0,1967,2058,0,523,243,0
350180,1180.3401827940606,478.8111152611238,0,1628.6098052384152,737.1418998157145,0,259.72289583964215,111.93334124843662,0,402.95500335795833,201.0386999497403,0,695,281,0,153,66,0
350190,517.2629088074082,505.11769199820225,0,624.8256624825663,733.6122733612273,0,209.13771670140324,119.99966867297631,0,237.86456174826796,168.2169008509796,0,3593,3510,0,1450,835,0
350200,403.4177967992914,157.76102425674387,0,600.6006006006006,280.28028028028024,0,159.27064259705116,86.73509988456414,0,229.99080036798526,238.50823937554208,0,189,74,0,74,40,0
350210,1137.9201850211678,1008.6420177117254,0,1315.8250131582502,1261.7026861492695,0,246.15491781233877,122.49831547399936,0,301.9197207678883,180.07622644148395,0,6438,5702,0,1396,696,0
350220,882.6842796629405,2091.186363973714,0,1188.671956256872,2873.3203752218374,0,165.72750844715793,71.19520251923369,0,213.96095212623695,90.1639344262295,0,2086,4958,0,393,170,0
350230,746.1534325022878,555.9005575859849,0,1013.6765888978279,687.0491240123669,0,204.58684433697437,98.40390860165836,0,281.3818977645771,147.05882352941177,0,465,345,0,128,61,0
350240,1017.5181538416575,959.1228603066869,0,1190.7654921020655,1798.0012666516384,0,237.90707448880195,92.43698356921543,0,302.2670025188917,195.83843329253367,0,401,376,0,94,37,0
350250,762.8272326673894,732.2433293920667,0,1165.2149078966156,873.314172009728,0,211.99823633507597,109.25720547162244,0,268.27446967392206,138.182622153438,0,2722,2619,0,759,391,0
350260,1715.6685905137674,2006.181268576285,0,2809.8799002945843,2945.8418309539993,0,383.1000120843524,161.32508069017226,0,480.67349223025633,262.1544327931363,0,748,875,0,167,70,0
350270,684.7026975384933,992.5859499993339,0,920.2332315259212,1134.4254492086789,0,238.68877284849736,93.34057226823577,0,354.9068867886908,138.6283943570089,0,1708,2480,0,596,233,0
350275,295.5508941107616,282.43472776443735,0,433.93602225312935,382.09295694325635,0,89.16680402579038,63.242884893210245,0,118.83258864911113,85.5431993156544,0,580,555,0,177,125,0
350280,620.5670569748942,390.24437601307864,0,698.2885187048979,472.809353188039,0,150.7650551717536,93.25858623376706,0,172.23758410848893,118.0249802436446,0,11800,7407,0,2866,1784,0
350290,358.1403935426264,176.3198170953326,0,438.7131082159,272.35986645580743,0,160.87051631687163,87.85313556451803,0,218.0871645151078,132.74018798880678,0,1104,543,0,492,271,0
350300,828.8179799030339,507.0936822572972,0,1228.0270867688853,752.0143240823635,0,205.95265563644142,113.74471414186992,0,284.69750889679716,213.52313167259788,0,448,275,0,112,62,0
350310,662.7050035940467,405.08404783332963,0,816.5829145728644,581.0301507537688,0,176.869829783369,79.64549719977725,0,296.7006883455969,125.84552461853075,0,417,255,0,111,50,0
350315,714.4355581172158,316.6603700452848,0,1626.5716748808536,525.2525252525253,0,251.86608247927472,104.43982617420674,0,317.9650238473768,282.82828282828285,0,178,79,0,63,26,0
350320,465.00617943048036,333.8572213619059,0,698.0921074926293,388.03135053734,0,216.42155908836,120.52219269487037,0,235.91062926905676,127.95135173692844,0,10470,7467,0,4826,2694,0
350330,518.5236350437708,339.2665357983149,0,564.206352484408,381.3562674557524,0,161.5461320395622,82.37818772258505,0,186.918531810503,111.21098094178943,0,6584,4303,0,2047,1050,0
350335,1890.0767404412175,1110.4160444688837,0,2486.772486772487,1694.9780977048936,0,223.5831490165204,91.31377026442185,0,423.2804232804233,220.87244616234128,0,355,208,0,42,17,0
350340,902.810572292297,778.5496520377083,0,1123.9943208707998,1014.3273741600102,0,271.64562689219673,137.25487525619087,0,332.9862591939427,186.9158878504673,0,746,641,0,223,113,0
350350,670.4659141548593,406.7464152245829,0,1349.8920086393089,539.9568034557235,0,243.3991442709028,169.69165242054618,0,361.1971104231166,286.5329512893983,0,255,155,0,93,65,0
350360,740.1565452251261,586.0168106640564,0,875.5413293165129,800.3818965049038,0,209.6833070767695,63.87458656908947,0,314.4936651990296,99.55652095212237,0,807,639,0,229,70,0
350370,746.4502711947267,547.0886189347049,0,1019.6987253765933,983.1805892060817,0,239.61881008166156,109.36470623958158,0,291.04236283281233,164.92578339747115,0,680,493,0,220,100,0
350380,279.46640228206525,246.66133613917867,0,332.3471000689012,388.10348409246825,0,127.24487758759247,64.58210739134823,0,185.63446551977648,75.62791067945707,0,1376,1205,0,637,321,0
350390,333.6071001783586,255.54023571465595,0,406.10898993405067,357.98542236411225,0,178.90182100318114,72.4736022958923,0,202.52802630481662,89.08943653823904,0,2777,2137,0,1482,601,0
350395,1362.9516807464652,975.1305135150056,0,1716.5005537098561,1621.9783661644126,0,234.97852984557522,76.55704564568929,0,432.1988114532685,166.11295681063123,0,249,178,0,43,14,0
350400,718.3241121288852,559.8597602638155,0,835.5091383812011,795.8224543080939,0,177.43682508255452,85.44426114007466,0,205.96631732224625,99.35755213859895,0,7186,5569,0,1782,857,0
350410,463.80724955172184,434.35835598991696,0,644.4337038827131,547.0681768830423,0,235.5912031770429,110.65038841665256,0,273.91256710857897,125.67804751208025,0,6305,5894,0,3186,1500,0
350420,983.248176859939,1289.3761462644343,0,1232.9538811474974,1760.7856892318484,0,233.42629666310285,101.96936107126547,0,290.94756331415726,140.96798013022757,0,1448,1898,0,345,151,0
350430,640.3982380052665,583.8560390455738,0,848.0964945344894,668.4045184145446,0,204.81267417268552,100.59759898628373,0,345.489443378119,180.469219971927,0,334,304,0,107,52,0
350440,575.1342800747053,677.9813839460894,0,778.7762088147197,926.3021044933777,0,146.0575114942152,85.377578809456,0,202.00263657354344,114.39902379499695,0,715,841,0,181,108,0
350450,879.8103696755865,820.0980840344273,0,985.5234594537004,1018.2128125314031,0,170.29896518162394,74.65360372755963,0,214.29687017605033,111.41139484860183,0,7661,7126,0,1481,654,0
350460,1052.6252014740248,525.3266643903862,0,1276.8007708985785,589.7324477000435,0,187.9185034764721,94.1540019198978,0,235.88084647526622,146.70823399963322,0,1702,846,0,302,152,0
350470,398.96375271607076,373.8641709344603,0,738.3706620723603,617.6016469377251,0,82.81898252589313,53.07757571073668,0,155.96001185296092,119.85617259288853,0,184,173,0,38,26,0
350480,1338.1320082667492,692.6961238965217,0,1584.4067023823093,825.6984504015384,0,239.83853387356828,145.02525050977525,0,348.0017961383026,241.42926122646062,0,1159,599,0,207,125,0
350490,404.60350513155925,423.1143697420146,0,738.1620944906533,679.1091269314011,0,205.90141642273994,111.94190599700705,0,275.5805152765106,220.85212110057972,0,428,448,0,219,119,0
350500,932.0327450194419,925.5163332609677,0,1371.9057560393678,1614.298068607668,0,179.0167445868861,96.30391105120421,0,286.5329512893983,207.10059171597635,0,309,308,0,59,32,0
350510,622.299382813538,557.7688647137844,0,850.3556308727686,774.4310209734143,0,190.02560936929984,102.45128883467977,0,270.1972439881113,171.47756501857674,0,437,390,0,134,72,0
350520,913.4181603798895,1097.8570035745786,0,1211.41085601716,1388.9998820301469,0,197.23764454052844,177.55159111904575,0,255.52161654135338,233.04591004427874,0,3055,3670,0,664,596,0
350530,1171.2558300461176,1180.2083268476288,0,1450.8661039829428,1597.099644107706,0,214.1531755148305,92.2832826309398,0,261.2894064186311,130.09660364824094,0,4198,4230,0,769,332,0
350535,653.4681855811541,721.9668182822714,0,949.367088607595,902.1758358393772,0,186.8808631295533,66.80560317350991,0,298.87482419127986,126.12612612612612,0,362,399,0,103,37,0
350540,363.3519079368893,235.38633699447283,0,483.0917874396135,406.6640430276794,0,156.4187056993589,95.55274215302101,0,196.77292404565134,130.08976193573565,0,281,182,0,121,74,0
350550,707.2128563269615,760.9723659746403,0,803.5007911392405,1180.9750122532878,0,238.26533330298108,130.39092899538736,0,253.2248672113501,178.62683763407495,0,8328,8877,0,2807,1537,0
350560,477.1350315203512,416.3316785088076,0,624.7714250883823,574.6776023609438,0,140.3578441810581,61.816734359530685,0,168.19832264222742,96.06147934678194,0,1476,1275,0,432,191,0
350570,802.1395249925062,1061.2105136595242,0,952.5493130298221,1341.3087635466995,0,221.60356356049996,83.28735562073307,0,245.45739691154049,90.81558964483445,0,20662,27302,0,5741,2156,0
350580,1080.8685943077953,2744.7267236521598,0,1277.9083431257345,3529.2983665873317,0,200.5614218331399,81.16444017549624,0,246.76125848241827,108.74588804610825,0,2251,5707,0,418,169,0
