"cod_ibge","nome_municipio","cod_microrregiao","nome_microrregiao","cod_mesorregiao","nome_mesorregiao","persist_dengue","persist_leishmaniose","persist_leptospirose","persist_malaria","incidence_mean_dengue","incidence_mean_leishmaniose","incidence_mean_leptospirose","incidence_mean_malaria","incidence_max_dengue","incidence_max_leishmaniose","incidence_max_leptospirose","incidence_max_malaria","total_cases_dengue","total_cases_leishmaniose","total_cases_leptospirose","total_cases_malaria","copresence_years","copresence_3plus","copresence_all4","dengue_leptospirose","dengue_malaria","dengue_leishmaniose","leptospirose_malaria","leptospirose_leishmaniose","malaria_leishmaniose"
"350010","Adamantina",35035,"Adamantina",3508,"Presidente Prudente",10,10,9,3,1162.4511890444,49.2152010476683,12.8938180553756,0.879669627073955,5934.18501197673,74.6652235372261,34.2387582743666,2.98660894148905,4062,170,45,3,10,10,2,9,3,10,2,9,3
"350020","Adolfo",35004,"São José do Rio Preto",3501,"São José do Rio Preto",10,0,3,1,1692.99325794414,0,11.1913768616129,2.74800769442154,3649.63503649635,0,56.369785794814,27.4800769442154,607,0,4,1,4,0,0,3,1,0,0,0,0
"350030","Aguaí",35029,"Pirassununga",3507,"Campinas",10,2,5,1,1298.02998824956,0.91892768952186,2.89799528889305,0.286837047873103,7133.63738060408,6.10780271797221,9.16170407695831,2.86837047873103,4509,3,10,1,6,2,0,5,1,2,1,1,0
"350040","Águas da Prata",35030,"São João da Boa Vista",3507,"Campinas",9,0,1,0,472.973648990323,0,1.23992560446373,0,4186.91588785047,0,12.3992560446373,0,380,0,1,0,1,0,0,1,0,0,0,0,0
"350050","Águas de Lindóia",35033,"Amparo",3507,"Campinas",9,2,8,1,131.878486809105,1.11971990743035,11.7403043470678,0.582056592198346,900.999290121771,5.82056592198346,28.6730129602019,5.82056592198346,242,2,21,1,7,2,1,7,1,2,1,2,1
"350055","Águas de Santa Bárbara",35022,"Avaré",3504,"Bauru",7,1,1,0,77.3426801350094,3.34616028107746,1.76740897843761,0,269.179004037685,33.4616028107746,17.6740897843761,0,46,2,1,0,1,0,0,0,0,1,0,0,0
"350060","Águas de São Pedro",35028,"Piracicaba",3506,"Piracicaba",8,1,4,0,500.879475652644,6.50829808005207,16.0746245296104,0,2928.73413602343,65.0829808005207,63.7145587766805,0,155,2,5,0,4,1,0,4,0,1,0,1,0
"350070","Agudos",35020,"Bauru",3504,"Bauru",10,8,8,1,901.456636036672,4.80723301549046,4.69285616005907,0.276625172890733,4549.36314290321,14.5627434344599,16.4275544847224,2.76625172890733,3309,17,17,1,10,6,1,8,1,8,1,6,1
"350080","Alfredo Marcondes",35036,"Presidente Prudente",3508,"Presidente Prudente",9,1,3,0,338.809687345815,2.58602409140044,7.5465720033367,0,888.142102736438,25.8602409140044,25.8602409140044,0,139,1,3,0,3,1,0,3,0,1,0,1,0
"350090","Altair",35004,"São José do Rio Preto",3501,"São José do Rio Preto",9,0,1,0,889.298345253922,0,2.49376558603491,0,4189.52618453865,0,24.9376558603491,0,360,0,1,0,1,0,0,1,0,0,0,0,0
