cod_ibge,cod_ibge_7,nome_municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao
350010,3500105,Adamantina,35035,Adamantina,3508,Presidente Prudente
350020,3500204,Adolfo,35004,São José do Rio Preto,3501,São José do Rio Preto
350030,3500303,Aguaí,35029,Pirassununga,3507,Campinas
350040,3500402,Águas da Prata,35030,São João da Boa Vista,3507,Campinas
350050,3500501,Águas de Lindóia,35033,Amparo,3507,Campinas
350055,3500550,Águas de Santa Bárbara,35022,Avaré,3504,Bauru
350060,3500600,Águas de São Pedro,35028,Piracicaba,3506,Piracicaba
350070,3500709,Agudos,35020,Bauru,3504,Bauru
350075,3500758,Alambari,35042,Itapetininga,3511,Itapetininga
350080,3500808,Alfredo Marcondes,35036,Presidente Prudente,3508,Presidente Prudente
350090,3500907,Altair,35004,São José do Rio Preto,3501,São José do Rio Preto
350100,3501004,Altinópolis,35015,Batatais,3502,Ribeirão Preto
350110,3501103,Alto Alegre,35018,Birigui,3503,Araçatuba
350115,3501152,Alumínio,35046,Sorocaba,3512,Macro Metropolitana Paulista
350120,3501202,Álvares Florence,35003,Votuporanga,3501,São José do Rio Preto
350130,3501301,Álvares Machado,35036,Presidente Prudente,3508,Presidente Prudente
350140,3501400,Álvaro de Carvalho,35038,Marília,3509,Marília
350150,3501509,Alvinlândia,35038,Marília,3509,Marília
350160,3501608,Americana,35032,Campinas,3507,Campinas
350170,3501707,Américo Brasiliense,35024,Araraquara,3505,Araraquara
350180,3501806,Américo de Campos,35003,Votuporanga,3501,São José do Rio Preto
350190,3501905,Amparo,35033,Amparo,3507,Campinas
350200,3502002,Analândia,35025,São Carlos,3505,Araraquara
350210,3502101,Andradina,35016,Andradina,3503,Araçatuba
350220,3502200,Angatuba,35042,Itapetininga,3511,Itapetininga
350230,3502309,Anhembi,35023,Botucatu,3504,Bauru
350240,3502408,Anhumas,35036,Presidente Prudente,3508,Presidente Prudente
350250,3502507,Aparecida,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
350260,3502606,Aparecida d'Oeste,35001,Jales,3501,São José do Rio Preto
350270,3502705,Apiaí,35044,Capão Bonito,3511,Itapetininga
350275,3502754,Araçariguama,35046,Sorocaba,3512,Macro Metropolitana Paulista
350280,3502804,Araçatuba,35017,Araçatuba,3503,Araçatuba
350290,3502903,Araçoiaba da Serra,35046,Sorocaba,3512,Macro Metropolitana Paulista
350300,3503000,Aramina,35011,Ituverava,3502,Ribeirão Preto
350310,3503109,Arandu,35022,Avaré,3504,Bauru
350315,3503158,Arapeí,35052,Bananal,3513,Vale do Paraíba Paulista
350320,3503208,Araraquara,35024,Araraquara,3505,Araraquara
350330,3503307,Araras,35027,Limeira,3506,Piracicaba
350335,3503356,Arco-Íris,35037,Tupã,3509,Marília
350340,3503406,Arealva,35020,Bauru,3504,Bauru
350350,3503505,Areias,35052,Bananal,3513,Vale do Paraíba Paulista
350360,3503604,Areiópolis,35020,Bauru,3504,Bauru
350370,3503703,Ariranha,35005,Catanduva,3501,São José do Rio Preto
350380,3503802,Artur Nogueira,35031,Mogi Mirim,3507,Campinas
350390,3503901,Arujá,35059,Guarulhos,3515,Metropolitana de São Paulo
350395,3503950,Aspásia,35001,Jales,3501,São José do Rio Preto
350400,3504008,Assis,35039,Assis,3510,Assis
350410,3504107,Atibaia,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
350420,3504206,Auriflama,35006,Auriflama,3501,São José do Rio Preto
350430,3504305,Avaí,35020,Bauru,3504,Bauru
350440,3504404,Avanhandava,35018,Birigui,3503,Araçatuba
350450,3504503,Avaré,35022,Avaré,3504,Bauru
350460,3504602,Bady Bassitt,35004,São José do Rio Preto,3501,São José do Rio Preto
350470,3504701,Balbinos,35020,Bauru,3504,Bauru
