cod_ibge,nome_municipio,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_mean
350010,Adamantina,33482.79,33821,33843,34953,35001,35048,35094,35139,35023,35068,34647.279
350020,Adolfo,3512.52,3548,3538,3639,3631,3623,3616,3609,3571,3562,3584.952
350030,Aguaí,32127.48,32452,32745,34188,34530,34863,35189,35508,35954,36305,34386.148
350040,Águas da Prata,7542.8099999999995,7619,7653,7942,7984,8025,8065,8104,8137,8180,7925.181
350050,Águas de Lindóia,17180.46,17354,17438,18108,18212,18313,18412,18509,18599,18705,18083.046
350055,Águas de Santa Bárbara,5573.7,5630,5658,5876,5911,5944,5977,6009,6040,6075,5869.37
350060,Águas de São Pedro,2743.29,2771,2832,3004,3073,3139,3205,3268,3380,3451,3086.629
350070,Agudos,34334.19,34681,34833,36150,36339,36524,36704,36880,37023,37214,36068.219
350075,Alambari,4929.21,4979,5071,5356,5460,5560,5658,5754,5918,6025,5471.021
350080,Alfredo Marcondes,3866.94,3906,3921,4064,4083,4101,4118,4135,4147,4166,4050.7940000000003
350090,Altair,3798.63,3837,3859,4010,4035,4060,4085,4109,4134,4160,4008.7630000000004
350100,Altinópolis,15460.83,15617,15627,16137,16159,16179,16199,16219,16164,16184,15994.583000000002
350110,Alto Alegre,4049.1,4090,4078,4193,4183,4173,4164,4154,4110,4099,4129.3099999999995
350115,Alumínio,16791.39,16961,17079,17784,17924,18061,18194,18324,18484,18628,17823.039
350120,Álvares Florence,3826.35,3865,3834,3915,3883,3853,3824,3795,3712,3679,3818.6349999999998
350130,Álvares Machado,23343.21,23579,23642,24482,24568,24651,24733,24813,24830,24915,24355.621
350140,Álvaro de Carvalho,4645.08,4692,4732,4937,4984,5030,5075,5119,5179,5227,4962.008
350150,Alvinlândia,2982.87,3013,3025,3137,3153,3168,3182,3196,3206,3222,3128.487
350160,Americana,210663.09,212791,214873,224551,226970,229322,231621,233868,237112,239597,226136.80899999998
350170,Américo Brasiliense,34604.46,34954,35413,37165,37691,38202,38701,39189,39962,40504,37638.545999999995
350180,Américo de Campos,5657.85,5715,5723,5916,5930,5942,5955,5967,5956,5969,5873.085
350190,Amparo,65583.54,66246,66649,69322,69808,70280,70742,71193,71700,72195,69371.854
350200,Analândia,4304.5199999999995,4348,4401,4612,4672,4731,4789,4845,4933,4995,4663.052000000001
350210,Andradina,54794.52,55348,55361,57145,57198,57250,57300,57350,57112,57157,56601.552
350220,Angatuba,22209.66,22434,22650,23666,23917,24161,24400,24634,24969,25228,23826.866
