cuadrante,n_municipios,poblacion_total,mean_idx_gobernanza_100,mean_idx_biodiv,pct_municipios,pct_poblacion,analisis,var_x,var_y,mean_idx_carga_enfermedad,mean_idx_clima,mean_idx_vulnerabilidad
Q1_Optimo,195,19227070.5,55.85025641025641,86.66438454446539,30.2,44.9,Gobernanza_vs_Biodiversidad,Gobernanza,Biodiversidad,,,
Q2_Riesgo,130,20181301.0,52.13076923076923,59.262597970433966,20.2,47.1,Gobernanza_vs_Biodiversidad,Gobernanza,Biodiversidad,,,
Q3_Critico,192,1574720.5,23.59375,62.21630111302685,29.8,3.7,Gobernanza_vs_Biodiversidad,Gobernanza,Biodiversidad,,,
Q4_Potencial,128,1853626.5,24.3875,84.74701091117447,19.8,4.3,Gobernanza_vs_Biodiversidad,Gobernanza,Biodiversidad,,,
Q1_Optimo,165,26949190.5,53.03757575757576,,25.6,62.9,Gobernanza_vs_Salud,Gobernanza,Carga Enfermedad,3.604664936767668,,
Q2_Riesgo,160,12459181.0,55.728750000000005,,24.8,29.1,Gobernanza_vs_Salud,Gobernanza,Carga Enfermedad,12.945020674618906,,
Q3_Critico,163,1604030.0,23.83558282208589,,25.3,3.7,Gobernanza_vs_Salud,Gobernanza,Carga Enfermedad,12.597091082519977,,
Q4_Potencial,157,1824317.0,23.989808917197454,,24.3,4.3,Gobernanza_vs_Salud,Gobernanza,Carga Enfermedad,3.924172267984303,,
Q1_Optimo,131,5386739.0,49.98931297709924,,20.3,12.6,Gobernanza_vs_Clima,Gobernanza,Riesgo Climatico,,20.015267175572518,
Q2_Riesgo,194,34021632.5,57.315463917525776,,30.1,79.4,Gobernanza_vs_Clima,Gobernanza,Riesgo Climatico,,40.0360824742268,
Q3_Critico,139,1919338.5,24.113669064748198,,21.6,4.5,Gobernanza_vs_Clima,Gobernanza,Riesgo Climatico,,31.35251798561151,
Q4_Potencial,181,1509008.5,23.755801104972377,,28.1,3.5,Gobernanza_vs_Clima,Gobernanza,Riesgo Climatico,,19.486187845303867,
Q1_Optimo,179,17716559.5,,86.75372617629087,27.8,41.4,Biodiversidad_vs_Vulnerabilidad,Biodiversidad,Vulnerabilidad,,,11.572971786236117
Q2_Riesgo,144,3364137.5,,84.84899581420152,22.3,7.9,Biodiversidad_vs_Vulnerabilidad,Biodiversidad,Vulnerabilidad,,,23.7462650429067
Q3_Critico,179,2535769.0,,60.46363161280686,27.8,5.9,Biodiversidad_vs_Vulnerabilidad,Biodiversidad,Vulnerabilidad,,,23.324936594724793
Q4_Potencial,143,19220252.5,,61.72501742073528,22.2,44.9,Biodiversidad_vs_Vulnerabilidad,Biodiversidad,Vulnerabilidad,,,11.412407028483115
