Variable_X,Variable_Y,Vulnerabilidad,Spearman_r,p_value,Significativo,n
Gobernanza,Riesgo Total,Baja,-0.005641251674625193,0.9652905206671321,ns,62
Gobernanza,Riesgo Total,Media,0.025420982734126914,0.8432295431626494,ns,63
Gobernanza,Riesgo Total,Alta,-0.22078627409706697,0.08462767224929868,ns,62
Gobernanza,Riesgo Salud,Baja,-0.29065038203950605,0.02192144203705464,*,62
Gobernanza,Riesgo Salud,Media,-0.32394349574791564,0.009598113535146474,**,63
Gobernanza,Riesgo Salud,Alta,-0.6069607144934545,1.6975953750873222e-07,***,62
Gobernanza,Riesgo Clima,Baja,0.22980834679135198,0.0723642484235463,ns,62
Gobernanza,Riesgo Clima,Media,0.3056759151429387,0.014839808855018293,*,63
Gobernanza,Riesgo Clima,Alta,0.5367998549133162,6.869624180110073e-06,***,62
Gobernanza,Riesgo Nutrición,Baja,-0.12728074090873095,0.3242162955237603,ns,62
Gobernanza,Riesgo Nutrición,Media,-0.16293948889022467,0.20197654456751718,ns,63
Gobernanza,Riesgo Nutrición,Alta,-0.5163192783352202,1.7421112938634727e-05,***,62
Biodiversidad,Riesgo Total,Baja,-0.24192289290121127,0.058174431338091144,ns,62
Biodiversidad,Riesgo Total,Media,-0.3535906298003072,0.004471968763881772,**,63
Biodiversidad,Riesgo Total,Alta,-0.29535896854775756,0.01977515579911561,*,62
Biodiversidad,Riesgo Salud,Baja,-0.5850520007050943,5.921067758246586e-07,***,62
Biodiversidad,Riesgo Salud,Media,-0.626392089093702,3.9957972534620664e-08,***,63
Biodiversidad,Riesgo Salud,Alta,-0.5108156430208255,2.2145941766892293e-05,***,62
Biodiversidad,Riesgo Clima,Baja,0.23278477986257426,0.06864507173532768,ns,62
Biodiversidad,Riesgo Clima,Media,0.2866263440860215,0.022757394483197614,*,63
Biodiversidad,Riesgo Clima,Alta,0.43270126665155745,0.0004440618152997058,***,62
Biodiversidad,Riesgo Nutrición,Baja,-0.5560927702651658,2.6993829920045397e-06,***,62
Biodiversidad,Riesgo Nutrición,Media,-0.6568088575596851,5.0471658713444e-09,***,63
Biodiversidad,Riesgo Nutrición,Alta,-0.7236449995992855,3.039647669233112e-11,***,62
