Dimension1,Dimension2,Variable1,Variable2,r,p
Clima,Salud,idx_clima,incidence_malaria,-0.6715751269870001,7.036705366285215e-26
Clima,Salud,idx_clima,incidence_dengue,-0.24353433642228717,0.0007832011881410354
Clima,Salud,idx_clima,incidence_diarrhea,-0.3200946199151315,7.971537185621117e-06
Clima,Salud,idx_clima,incidence_leptospirose,0.16307479668934752,0.02574671298926812
Clima,Salud,idx_clima,incidence_chagas,0.16091691812446615,0.027799153808108074
Biodiversidad,Salud,idx_biodiv,incidence_malaria,-0.3534891157531402,6.954152693462842e-07
Biodiversidad,Salud,idx_biodiv,incidence_dengue,-0.531562547025424,4.974381657376315e-15
Biodiversidad,Salud,idx_biodiv,incidence_diarrhea,-0.5114475939499155,7.426451909109896e-14
Biodiversidad,Salud,idx_biodiv,incidence_leptospirose,0.3975500268573534,1.7617544269717214e-08
Biodiversidad,Salud,idx_biodiv,incidence_chagas,-0.003728593577456935,0.9596075709629982
Vulnerabilidad,Salud,idx_vulnerabilidad,incidence_malaria,-0.3465857196901239,1.1787876213292766e-06
Vulnerabilidad,Salud,idx_vulnerabilidad,incidence_dengue,-0.32079689054132915,7.594903670029545e-06
Vulnerabilidad,Salud,idx_vulnerabilidad,incidence_diarrhea,-0.31542544015796875,1.096383337825366e-05
Vulnerabilidad,Salud,idx_vulnerabilidad,incidence_leptospirose,0.2171324551952976,0.002835520505282283
Vulnerabilidad,Salud,idx_vulnerabilidad,incidence_chagas,0.10168142485263773,0.16613169167573816
Clima,Biodiversidad,idx_clima,idx_biodiv,0.2526669975361,7.49391022044488e-11
Clima,Vulnerabilidad,idx_clima,idx_vulnerabilidad,0.2517858765559489,8.75864256844267e-11
Gobernanza,Vulnerabilidad,idx_gobernanza,idx_vulnerabilidad,0.12090404321847185,0.002098567031392328
