var1,var2,rho,p_value,n,significant
incidence_malaria,pct_rural,0.7121520219841888,3.0776931754839444e-30,187,True
copersistence,pct_rural,-0.6976567393100221,1.3461725555158628e-28,187,True
incidence_malaria,UAI_promedio,-0.6816017738387751,6.851343998829083e-27,187,True
copersistence,UAI_promedio,0.6407465723679802,5.293367444862662e-23,187,True
persist_dengue,UAI_promedio,0.5841581214277733,1.6946772466756965e-18,187,True
incidence_dengue,pol_deficit,0.5434815752008583,9.193577554670325e-16,187,True
persist_diarrhea,pct_rural,-0.5176203709762544,3.301371585903211e-14,187,True
persist_dengue,pct_rural,-0.5147775708651885,4.805371522411646e-14,187,True
persist_malaria,UAI_promedio,0.4946582127123992,6.213287588178656e-13,187,True
incidence_diarrhea,mean_species_richness,-0.45209737978925274,8.29062403270613e-11,187,True
incidence_dengue,mean_species_richness,-0.42928660826032544,8.759714486423707e-10,187,True
persist_diarrhea,UAI_promedio,0.42239707063412985,1.7261666624826714e-09,187,True
mean_species_richness,hydric_stress_exp,0.4035670179797106,1.1665016279373282e-26,645,True
mean_species_richness,n_pessoas_pobreza,0.38778575896390316,1.4172988574781448e-24,645,True
pol_deficit,n_pessoas_pobreza,-0.383410810115508,5.124620590051355e-24,645,True
mean_species_richness,population,0.37123022770254643,1.659437458745582e-22,645,True
incidence_malaria,mean_species_richness,-0.3577442064808029,4.99166995049713e-07,187,True
pol_deficit,flooding_risks,-0.3534692754156427,2.0407891810472546e-20,645,True
persist_malaria,pct_rural,-0.3526567845443049,7.415950612817913e-07,187,True
incidence_diarrhea,UAI_promedio,-0.35083588449612113,8.53052591268624e-07,187,True
incidence_malaria,hydric_stress_risk,-0.3504089277119715,8.81412125566789e-07,187,True
incidence_malaria,pol_deficit,0.3416805589337879,1.702148944855265e-06,187,True
incidence_malaria,flooding_risks,-0.3243998693300652,5.913577905701101e-06,187,True
mean_species_richness,UAI_mob,0.3221566069990167,4.836267915857966e-17,645,True
incidence_diarrhea,pct_rural,0.2953293445409151,4.0713479137569174e-05,187,True
incidence_dengue,flooding_risks,-0.29093188332315534,5.356857977882823e-05,187,True
incidence_diarrhea,pol_deficit,0.28887812312802413,6.079984374608006e-05,187,True
copersistence,flooding_risks,0.27663444785209723,0.0001267859720098197,187,True
copersistence,hydric_stress_risk,0.2752248682366627,0.0001376806206873084,187,True
mean_species_richness,flooding_risks,0.2719111002682018,2.1395094356449846e-12,645,False
pol_deficit,population,-0.2594283826005789,2.220006740950347e-11,645,False
mean_species_richness,UAI_Crisk,0.2563737981991982,3.8631804176619554e-11,645,False
pol_deficit,UAI_Crisk,-0.24166816544421582,5.031994297839191e-10,645,False
persist_malaria,mean_species_richness,-0.24040736514375624,0.0009189916923996573,187,True
copersistence,pol_deficit,-0.23664399716139836,0.0011109797400854012,187,True
mean_species_richness,hydric_stress_risk,0.22523905887544254,7.305410557594497e-09,645,False
pol_deficit,UAI_mob,-0.2250965119557647,7.470447219471273e-09,645,False
persist_diarrhea,hydric_stress_risk,0.21629439863259123,0.0029468739409361107,187,True
persist_dengue,hydric_stress_risk,0.20774926325379953,0.00432984184566338,187,True
mean_species_richness,UAI_promedio,0.2027743459039907,2.059424817118718e-07,645,False
pol_deficit,UAI_promedio,-0.18590796384551217,1.9960799194742782e-06,645,False
incidence_diarrhea,flooding_risks,-0.17988044516583715,0.01376022618662142,187,False
Vert_rich_risk,hydric_stress_exp,-0.1782950679177483,5.2160961826906205e-06,645,False
pol_deficit,hydric_stress_exp,-0.17600898848732657,6.9064083010426125e-06,645,False
pol_deficit,mort_infantil,-0.15422838695697683,8.393688330998637e-05,645,False
Vert_rich_risk,flooding_exposure,0.1444465652175877,0.00023260196478484043,645,False
Vert_rich_risk,hydric_stress_risk,-0.13862761459541942,0.0004140888953782493,645,False
mean_species_richness,UAI_housing,0.13045521158532808,0.0008971904290255788,645,False
pol_deficit,UAI_housing,-0.12313771748003986,0.001729259629557401,645,False
incidence_diarrhea,hydric_stress_risk,-0.12151885702692515,0.09757029927091518,187,False
mean_species_richness,mort_infantil,0.12147489152901174,0.001997878203777357,645,False
copersistence,mean_species_richness,0.1213984677281257,0.0979052165812379,187,False
persist_dengue,flooding_risks,0.11636742018224082,0.11273394624706688,187,False
Vert_rich_risk,n_pessoas_pobreza,-0.11436302218342455,0.0036331346694244647,645,False
persist_diarrhea,flooding_risks,0.11428975725667204,0.11934767990559453,187,False
persist_malaria,flooding_risks,0.10769398468306059,0.14235193409087032,187,False
incidence_dengue,UAI_promedio,-0.09309448896221212,0.20506021781815598,187,False
Vert_rich_risk,UAI_food,0.08883914632978977,0.024050544361092337,645,False
incidence_dengue,pct_rural,0.08481336270792923,0.24845532520000932,187,False
pol_deficit,hydric_stress_risk,-0.08254288109675154,0.036096351123268096,645,False
mean_species_richness,flooding_exposure,-0.07890248599488099,0.045165332605911095,645,False
mean_species_richness,UAI_env,0.07454564807217377,0.058466242965626226,645,False
Vert_rich_risk,UAI_Crisk,-0.07131587935533217,0.07029724486159349,645,False
Vert_rich_risk,UAI_env,0.0654482079263932,0.0967666677771857,645,False
Vert_rich_risk,pct_rural,-0.06296541952312049,0.11013046531170033,645,False
