predictor,predictor_label,outcome,outcome_label,dimension,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,best_structure,aic_micro,aic_crossed,aic_nested,delta_aic,aic_weight
pol_deficit,Deficit Polinizacion,UAI_housing,UAI Vivienda,Biodiversidad,4838.952957872267,4856.82995913945,4839.015457872267,-2415.4764789361334,-1.7568398325954295,0.5062827678814817,0.000520310541191654,0.09521562502169749,0.1948625335299665,645,True,micro_only,4838.952957872267,4840.952957872267,4840.952957872267,0.0,0.9797315891981168
forest_cover,Cobertura Forestal,UAI_housing,UAI Vivienda,Biodiversidad,4848.2636732135525,4866.1406744807355,4848.3261732135525,-2420.1318366067762,0.7471969615743985,0.5971462706128567,0.21083247642907432,0.0900452560945806,0.22706707515037594,645,True,micro_only,4848.2636732135525,4850.2636732135525,4850.2636732135525,9.310715341285686,0.009317748059031069
mean_species_richness,Riqueza Especies,UAI_housing,UAI Vivienda,Biodiversidad,4849.327009566756,4867.204010833939,4849.389509566756,-2420.663504783378,0.37371712570668547,0.5877335747102942,0.5248667279567415,0.09173055172726897,0.2457202180861961,645,True,micro_only,4849.327009566756,4851.327009566756,4851.327009566756,10.374051694489026,0.005475331371426142
idx_biodiv,Biodiversidad (idx),UAI_housing,UAI Vivienda,Biodiversidad,4849.327009566756,4867.204010833939,4849.389509566756,-2420.663504783378,0.3737171257066858,0.5877335747102942,0.5248667279567412,0.09173055172726899,0.2457202180861961,645,True,micro_only,4849.327009566756,4851.327009566756,4851.327009566756,10.374051694489026,0.005475331371426142
incidence_mean_dengue,Dengue,UAI_housing,UAI Vivienda,Riesgo Salud,4839.708752365805,4857.585753632988,4839.771252365805,-2415.8543761829023,1.62499630793415,0.5161156105374118,0.0016410386062424857,0.10874460109360432,0.29427387346303047,645,True,micro_only,4839.708752365805,4841.708752365805,4841.708752365805,0.0,0.9003284909665729
health_hosp_resp_mean,Hosp. Respiratoria,UAI_housing,UAI Vivienda,Riesgo Salud,4846.084984115421,4863.961985382604,4846.147484115421,-2419.0424920577107,-0.9134332978274727,0.4766649504380282,0.05532685328411423,0.09259493891448374,0.22789838973015458,645,True,micro_only,4846.084984115421,4848.084984115421,4848.084984115423,6.376231749616636,0.03713811541423214
health_death_circ_mean,Mort. Cardiovasc.,UAI_housing,UAI Vivienda,Riesgo Salud,4847.224388407418,4865.101389674601,4847.286888407418,-2419.612194203709,-0.7135119244450141,0.4503577229485433,0.11312032240608484,0.09348106056230925,0.24190219534475554,645,True,micro_only,4847.224388407418,4849.224388407418,4849.224388407418,7.5156360416131065,0.021008805637112334
incidence_diarrhea_mean,Diarrea,UAI_housing,UAI Vivienda,Riesgo Salud,4847.857509520305,4865.734510787488,4847.920009520305,-2419.9287547601525,-0.5891672529552279,0.43077610436382374,0.17140979817874957,0.09328552837994984,0.2452864319498657,645,True,micro_only,4847.857509520305,4849.857509520305,4849.857509520305,8.148757154500345,0.015308084835348013
incidence_mean_leishmaniose,Leishmaniasis,UAI_housing,UAI Vivienda,Riesgo Salud,4848.6766855049245,4866.5536867721075,4848.7391855049245,-2420.3383427524623,-0.4769373379554868,0.46499882019425254,0.30504513371964426,0.09316125247408433,0.2505462945837822,645,True,micro_only,4848.6766855049245,4850.6766855049245,4850.6766855049245,8.96793313911985,0.010163400866901031
incidence_mean_leptospirose,Leptospirosis,UAI_housing,UAI Vivienda,Riesgo Salud,4848.944167205382,4866.821168472565,4849.006667205382,-2420.472083602691,0.38581018867867556,0.436332820655636,0.37658243398841384,0.0931015919106756,0.2521226683106963,645,True,micro_only,4848.944167205382,4850.944167205382,4850.944167205382,9.23541483957706,0.00889111325220772
incidence_mean_malaria,Malaria,UAI_housing,UAI Vivienda,Riesgo Salud,4849.376696260097,4867.25369752728,4849.439196260097,-2420.6883481300483,0.2413800398583435,0.40889068098559433,0.5549700792505946,0.09274952251304176,0.2529690489201757,645,True,micro_only,4849.376696260097,4851.376696260097,4851.376696260097,9.667943894291966,0.007161989027626106
