predictor,predictor_label,outcome,outcome_label,dimension,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,best_structure,aic_micro,aic_crossed,aic_nested,delta_aic,aic_weight
pol_deficit,Deficit Polinizacion,UAI_housing,UAI Vivienda,Biodiversidad,4838.952957872267,4856.82995913945,4839.015457872267,-2415.4764789361334,-1.7568398325954295,0.5062827678814817,0.000520310541191654,0.09521562502169749,0.1948625335299665,645,True,micro_only,4838.952957872267,4840.952957872267,4840.952957872267,0.0,0.9797315891981168
forest_cover,Cobertura Forestal,UAI_housing,UAI Vivienda,Biodiversidad,4848.2636732135525,4866.1406744807355,4848.3261732135525,-2420.1318366067762,0.7471969615743985,0.5971462706128567,0.21083247642907432,0.0900452560945806,0.22706707515037594,645,True,micro_only,4848.2636732135525,4850.2636732135525,4850.2636732135525,9.310715341285686,0.009317748059031069
mean_species_richness,Riqueza Especies,UAI_housing,UAI Vivienda,Biodiversidad,4849.327009566756,4867.204010833939,4849.389509566756,-2420.663504783378,0.37371712570668547,0.5877335747102942,0.5248667279567415,0.09173055172726897,0.2457202180861961,645,True,micro_only,4849.327009566756,4851.327009566756,4851.327009566756,10.374051694489026,0.005475331371426142
idx_biodiv,Biodiversidad (idx),UAI_housing,UAI Vivienda,Biodiversidad,4849.327009566756,4867.204010833939,4849.389509566756,-2420.663504783378,0.3737171257066858,0.5877335747102942,0.5248667279567412,0.09173055172726899,0.2457202180861961,645,True,micro_only,4849.327009566756,4851.327009566756,4851.327009566756,10.374051694489026,0.005475331371426142
forest_cover,Cobertura Forestal,UAI_env,UAI Ambiental,Biodiversidad,3312.784173981913,3330.6611752490962,3312.846673981913,-1652.3920869909566,-0.019824674328928753,0.1429403879227895,0.8896936172149681,0.021388314793270104,0.07763585407324083,645,True,micro_only,3312.784173981913,3314.784173981913,3314.784173981913,0.0,0.2515573457055037
pol_deficit,Deficit Polinizacion,UAI_env,UAI Ambiental,Biodiversidad,3312.796727275887,3330.67372854307,3312.859227275887,-1652.3983636379435,0.011235022769622226,0.13751602127931317,0.9348854875181694,0.021456158972269927,0.07804442878302897,645,True,micro_only,3312.796727275887,3314.796727275887,3314.796727275887,0.012553293973724067,0.24998335391243157
mean_species_richness,Riqueza Especies,UAI_env,UAI Ambiental,Biodiversidad,3312.802766415796,3330.679767682979,3312.865266415796,-1652.401383207898,0.0037575297801445166,0.1483423234341246,0.9797916443669391,0.021343891143206263,0.07752664246297074,645,True,micro_only,3312.802766415796,3314.802766415796,3314.802766415797,0.01859243388298637,0.24922965019103233
idx_biodiv,Biodiversidad (idx),UAI_env,UAI Ambiental,Biodiversidad,3312.802766415796,3330.679767682979,3312.865266415796,-1652.401383207898,0.003757529780144581,0.14834232343412462,0.9797916443669388,0.02134389114320626,0.07752664246297074,645,True,micro_only,3312.802766415796,3314.802766415796,3314.802766415797,0.01859243388298637,0.24922965019103233
pol_deficit,Deficit Polinizacion,UAI_food,UAI Alimentacion,Biodiversidad,4280.838173486762,4298.715174753945,4280.900673486762,-2136.419086743381,0.8317955321312497,0.29372917921666586,0.004628026490371694,0.048453212712353325,0.11679742945644518,645,True,micro_only,4280.838173486762,4282.838173486762,4282.838173486762,0.0,0.9294430064313419
mean_species_richness,Riqueza Especies,UAI_food,UAI Alimentacion,Biodiversidad,4287.986677976835,4305.863679244018,4288.049177976835,-2139.9933389884177,-0.27941510147237303,0.3257896384253674,0.39108301364751497,0.03969150956128949,0.11470183894577789,645,True,micro_only,4287.986677976835,4289.986677976835,4289.986677976835,7.148504490073719,0.026058219437713814
idx_biodiv,Biodiversidad (idx),UAI_food,UAI Alimentacion,Biodiversidad,4287.986677976835,4305.863679244018,4288.049177976835,-2139.9933389884177,-0.2794151014715071,0.32578963842610437,0.3910830136500547,0.039691509561904696,0.11470183894766077,645,True,micro_only,4287.986677976835,4289.986677976835,4289.986677976835,7.148504490073719,0.026058219437713814
