predictor,predictor_label,outcome,outcome_label,dimension,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,best_structure,aic_micro,aic_crossed,aic_nested,delta_aic,aic_weight
fire_risk_index,Riesgo Fuego,UAI_housing,UAI Vivienda,Riesgo Climatico,4798.017412522851,4815.894413790034,4798.079912522851,-2395.0087062614257,3.3357356646971934,0.4563287541926217,2.672623458518066e-13,0.16051299670805863,0.40082248012388205,645,True,micro_only,4798.017412522851,4800.017412522851,4800.017412522851,0.0,0.886182026123541
idx_clima,Clima (idx),UAI_housing,UAI Vivienda,Riesgo Climatico,4802.122411704306,4819.999412971489,4802.184911704306,-2397.061205852153,3.0759208021270923,0.43136371832564924,9.98672672443192e-13,0.14034926950170895,0.22055760249597092,645,True,micro_only,4802.122411704306,4804.122411704306,4804.122411704306,4.104999181454332,0.11379775408543158
flooding_risks,Riesgo Inundacion,UAI_housing,UAI Vivienda,Riesgo Climatico,4819.417090378976,4837.294091646159,4819.479590378976,-2405.708545189488,2.5111356998377357,0.443811055642242,1.530411451479726e-08,0.12091364837443619,0.21909410475895263,645,True,micro_only,4819.417090378976,4821.417090378976,4821.417090378978,21.39967785612498,1.9982137061095772e-05
hydric_stress_risk,Estres Hidrico,UAI_housing,UAI Vivienda,Riesgo Climatico,4828.2806470059295,4846.1576482731125,4828.3431470059295,-2410.1403235029647,1.93504384025895,0.41470697858114414,3.0704378085273926e-06,0.11611462735974211,0.2541952106995719,645,True,micro_only,4828.2806470059295,4830.2806470059295,4830.280647005928,30.263234483078122,2.3765396640231794e-07
flooding_risks,Riesgo Inundacion,UAI_env,UAI Ambiental,Riesgo Climatico,3303.978064696279,3321.855065963462,3304.040564696279,-1647.9890323481395,0.38611802057113226,0.1289228677524734,0.002744864978002271,0.03221871615717071,0.07890060589348742,645,True,micro_only,3303.978064696279,3305.978064696279,3305.978064696279,0.0,0.4625996295787484
idx_clima,Clima (idx),UAI_env,UAI Ambiental,Riesgo Climatico,3304.8940553601533,3322.7710566273363,3304.9565553601533,-1648.4470276800766,0.3653304761413116,0.12863508453088032,0.0045106018782201125,0.02975336691516012,0.07174082758273856,645,True,micro_only,3304.8940553601533,3306.8940553601533,3306.8940553601533,0.9159906638742541,0.2926175941386374
fire_risk_index,Riesgo Fuego,UAI_env,UAI Ambiental,Riesgo Climatico,3305.3131908916357,3323.1901921588187,3305.3756908916357,-1648.6565954458179,0.36289657094297656,0.13336506048004038,0.006506964377124054,0.035443570099859344,0.1032471277373752,645,True,micro_only,3305.3131908916357,3307.3131908916357,3307.3131908916357,1.335126195356679,0.2372937562301345
hydric_stress_risk,Estres Hidrico,UAI_env,UAI Ambiental,Riesgo Climatico,3312.224912684688,3330.101913951871,3312.287412684688,-1652.112456342344,0.09741747169201961,0.12796940845567115,0.4465042145865027,0.02132478238506317,0.07399004269217245,645,True,micro_only,3312.224912684688,3314.224912684688,3314.224912684688,8.246847988409172,0.007489020052479785
fire_risk_index,Riesgo Fuego,UAI_food,UAI Alimentacion,Riesgo Climatico,4280.441328481937,4298.31832974912,4280.503828481937,-2136.2206642409683,0.8136172611827504,0.2830405949422865,0.00404590487827168,0.052794215763454624,0.13664244723868,645,True,micro_only,4280.441328481937,4282.441328481937,4282.441328481937,0.0,0.9252190797100304
idx_clima,Clima (idx),UAI_food,UAI Alimentacion,Riesgo Climatico,4287.278839322776,4305.155840589959,4287.341339322776,-2139.639419661388,-0.3370867866362339,0.2803756372259182,0.2292595311840172,0.03990381244402974,0.1116438292657866,645,True,micro_only,4287.278839322776,4289.278839322776,4289.278839322777,6.837510840839059,0.030303861055755228
