predictor,predictor_label,outcome,outcome_label,dimension,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,best_structure,aic_micro,aic_crossed,aic_nested,delta_aic,aic_weight
incidence_mean_dengue,Dengue,UAI_housing,UAI Vivienda,Riesgo Salud,4839.708752365805,4857.585753632988,4839.771252365805,-2415.8543761829023,1.62499630793415,0.5161156105374118,0.0016410386062424857,0.10874460109360432,0.29427387346303047,645,True,micro_only,4839.708752365805,4841.708752365805,4841.708752365805,0.0,0.9003284909665729
health_hosp_resp_mean,Hosp. Respiratoria,UAI_housing,UAI Vivienda,Riesgo Salud,4846.084984115421,4863.961985382604,4846.147484115421,-2419.0424920577107,-0.9134332978274727,0.4766649504380282,0.05532685328411423,0.09259493891448374,0.22789838973015458,645,True,micro_only,4846.084984115421,4848.084984115421,4848.084984115423,6.376231749616636,0.03713811541423214
health_death_circ_mean,Mort. Cardiovasc.,UAI_housing,UAI Vivienda,Riesgo Salud,4847.224388407418,4865.101389674601,4847.286888407418,-2419.612194203709,-0.7135119244450141,0.4503577229485433,0.11312032240608484,0.09348106056230925,0.24190219534475554,645,True,micro_only,4847.224388407418,4849.224388407418,4849.224388407418,7.5156360416131065,0.021008805637112334
incidence_diarrhea_mean,Diarrea,UAI_housing,UAI Vivienda,Riesgo Salud,4847.857509520305,4865.734510787488,4847.920009520305,-2419.9287547601525,-0.5891672529552279,0.43077610436382374,0.17140979817874957,0.09328552837994984,0.2452864319498657,645,True,micro_only,4847.857509520305,4849.857509520305,4849.857509520305,8.148757154500345,0.015308084835348013
incidence_mean_leishmaniose,Leishmaniasis,UAI_housing,UAI Vivienda,Riesgo Salud,4848.6766855049245,4866.5536867721075,4848.7391855049245,-2420.3383427524623,-0.4769373379554868,0.46499882019425254,0.30504513371964426,0.09316125247408433,0.2505462945837822,645,True,micro_only,4848.6766855049245,4850.6766855049245,4850.6766855049245,8.96793313911985,0.010163400866901031
incidence_mean_leptospirose,Leptospirosis,UAI_housing,UAI Vivienda,Riesgo Salud,4848.944167205382,4866.821168472565,4849.006667205382,-2420.472083602691,0.38581018867867556,0.436332820655636,0.37658243398841384,0.0931015919106756,0.2521226683106963,645,True,micro_only,4848.944167205382,4850.944167205382,4850.944167205382,9.23541483957706,0.00889111325220772
incidence_mean_malaria,Malaria,UAI_housing,UAI Vivienda,Riesgo Salud,4849.376696260097,4867.25369752728,4849.439196260097,-2420.6883481300483,0.2413800398583435,0.40889068098559433,0.5549700792505946,0.09274952251304176,0.2529690489201757,645,True,micro_only,4849.376696260097,4851.376696260097,4851.376696260097,9.667943894291966,0.007161989027626106
incidence_mean_leptospirose,Leptospirosis,UAI_env,UAI Ambiental,Riesgo Salud,3310.9581713162843,3328.8351725834673,3311.0206713162843,-1651.4790856581421,0.1756429768603463,0.1289770737565505,0.17325612191802942,0.023027846500020287,0.074884624908901,645,True,micro_only,3310.9581713162843,3312.9581713162843,3312.9581713162843,0.0,0.23897082301112993
incidence_mean_malaria,Malaria,UAI_env,UAI Ambiental,Riesgo Salud,3311.2941646393,3329.171165906483,3311.3566646393,-1651.64708231965,-0.15274844636331913,0.12426281828507439,0.21898298310224595,0.02315020399329926,0.07751491052920652,645,True,micro_only,3311.2941646393,3313.2941646393,3313.2941646393,0.3359933230158276,0.20201557603648365
health_hosp_resp_mean,Hosp. Respiratoria,UAI_env,UAI Ambiental,Riesgo Salud,3311.8648467384655,3329.7418480056485,3311.9273467384655,-1651.9324233692328,-0.12869552997130781,0.13242685325189782,0.3311383554389985,0.02166971448408583,0.07354744825953144,645,True,micro_only,3311.8648467384655,3313.8648467384655,3313.8648467384646,0.9066754221812516,0.15186678983549246
incidence_mean_leishmaniose,Leishmaniasis,UAI_env,UAI Ambiental,Riesgo Salud,3312.504372719728,3330.381373986911,3312.566872719728,-1652.252186359864,0.07341570241641618,0.13448669522810391,0.5851376660941991,0.022329867508135405,0.08062215840659834,645,True,micro_only,3312.504372719728,3314.504372719728,3314.504372719727,1.5462014034437743,0.11030406320106938
incidence_diarrhea_mean,Diarrea,UAI_env,UAI Ambiental,Riesgo Salud,3312.6819874817456,3330.5589887489286,3312.7444874817456,-1652.3409937408728,-0.0442413113798317,0.1269619713104006,0.7274939040967936,0.021567368830999266,0.07791518417646152,645,True,micro_only,3312.6819874817456,3314.6819874817456,3314.6819874817456,1.7238161654613577,0.10093062324935963
incidence_mean_dengue,Dengue,UAI_env,UAI Ambiental,Riesgo Salud,3312.700994631551,3330.577995898734,3312.763494631551,-1652.3504973157756,-0.04472364956450747,0.1395994809640447,0.7486869749428388,0.021293776098746293,0.07667669565527281,645,True,micro_only,3312.700994631551,3314.700994631551,3314.700994631551,1.7428233152668327,0.09997596502949804
health_death_circ_mean,Mort. Cardiovasc.,UAI_env,UAI Ambiental,Riesgo Salud,3312.7834883133937,3330.6604895805767,3312.8459883133937,-1652.3917441566969,-0.01895020645401637,0.13421431104917292,0.8877169741913046,0.021142716228683384,0.076419071736917,645,True,micro_only,3312.7834883133937,3314.7834883133937,3314.7834883133937,1.8253169971094394,0.09593615963696685
incidence_mean_leishmaniose,Leishmaniasis,UAI_food,UAI Alimentacion,Riesgo Salud,4285.975258489159,4303.852259756342,4286.037758489159,-2138.9876292445797,0.47643244879184693,0.28706976001004325,0.09698690176830818,0.042539389500123426,0.1172048059202848,645,True,micro_only,4285.975258489159,4287.975258489159,4287.975258489159,0.0,0.2817724624364071
health_death_circ_mean,Mort. Cardiovasc.,UAI_food,UAI Alimentacion,Riesgo Salud,4286.597627076108,4304.474628343291,4286.660127076108,-2139.298813538054,0.4117499125359799,0.2820083986693017,0.14427287333132396,0.0407105212986333,0.11169198695314819,645,True,micro_only,4286.597627076108,4288.597627076108,4288.597627076108,0.622368586949051,0.20642054759943734
health_hosp_resp_mean,Hosp. Respiratoria,UAI_food,UAI Alimentacion,Riesgo Salud,4287.496464050654,4305.373465317837,4287.558964050654,-2139.748232025327,0.3150898253977564,0.284634381768473,0.2682945894179325,0.04022363853116448,0.1145066248797337,645,True,micro_only,4287.496464050654,4289.496464050654,4289.496464050654,1.521205561494753,0.13169611292569675
incidence_mean_dengue,Dengue,UAI_food,UAI Alimentacion,Riesgo Salud,4287.554054671113,4305.431055938296,4287.616554671113,-2139.7770273355563,0.3298229124234185,0.30656967917535627,0.28199445873790885,0.04149168218119473,0.12115390003125262,645,True,micro_only,4287.554054671113,4289.554054671113,4289.554054671113,1.5787961819532939,0.12795796140765645
incidence_diarrhea_mean,Diarrea,UAI_food,UAI Alimentacion,Riesgo Salud,4287.962643943017,4305.8396452102,4288.025143943017,-2139.9813219715084,0.23644854879764846,0.27209662278370655,0.3848539984020224,0.04002886862135045,0.11623561966553529,645,True,micro_only,4287.962643943017,4289.962643943017,4289.962643943017,1.9873854538573141,0.10431416339072191
incidence_mean_leptospirose,Leptospirosis,UAI_food,UAI Alimentacion,Riesgo Salud,4288.629715859721,4306.506717126904,4288.692215859721,-2140.3148579298604,0.08179685227318692,0.2768703230382906,0.7676625145433711,0.039375983565158985,0.11684709470513552,645,True,micro_only,4288.629715859721,4290.629715859721,4290.629715859721,2.654457370561431,0.07472922066184781
incidence_mean_malaria,Malaria,UAI_food,UAI Alimentacion,Riesgo Salud,4288.673540739654,4306.550542006837,4288.736040739654,-2140.336770369827,-0.055197008431091946,0.26479728275523334,0.8348775755222189,0.03930906604756406,0.1167686102162401,645,True,micro_only,4288.673540739654,4290.673540739654,4290.6735407396545,2.6982822504942305,0.07310953157823281
health_hosp_resp_mean,Hosp. Respiratoria,UAI_mob,UAI Movilidad,Riesgo Salud,3787.3062994680213,3805.1833007352043,3787.3687994680213,-1889.6531497340106,-0.4616754712036612,0.21482525163633134,0.03162849442903184,0.09955501962276991,0.22715540384410607,645,True,micro_only,3787.3062994680213,3789.3062994680213,3789.3062994680213,0.0,0.47045551249371714
incidence_mean_dengue,Dengue,UAI_mob,UAI Movilidad,Riesgo Salud,3789.4928795545975,3807.3698808217805,3789.5553795545975,-1890.7464397772987,0.35715453365787797,0.23141874543649957,0.12275173293601298,0.10491661195448833,0.2824043275422398,645,True,micro_only,3789.4928795545975,3791.4928795545975,3791.4928795545966,2.186580086576214,0.15765535571309738
health_death_circ_mean,Mort. Cardiovasc.,UAI_mob,UAI Movilidad,Riesgo Salud,3790.1924048296178,3808.069406096801,3790.2549048296178,-1891.0962024148089,-0.25914263949362376,0.1983092187691056,0.19129408882276056,0.09985545835656737,0.25062422690085334,645,True,micro_only,3790.1924048296178,3792.1924048296178,3792.1924048296178,2.886105361596492,0.11112422504395252
incidence_diarrhea_mean,Diarrea,UAI_mob,UAI Movilidad,Riesgo Salud,3790.829500479844,3808.706501747027,3790.892000479844,-1891.414750239922,-0.19676789270275877,0.1904684277460057,0.3015694854358342,0.09945514977941314,0.252712787996464,645,True,micro_only,3790.829500479844,3792.829500479844,3792.829500479844,3.5232010118224935,0.08081001411901813
incidence_mean_malaria,Malaria,UAI_mob,UAI Movilidad,Riesgo Salud,3790.9391285989695,3808.8161298661526,3791.0016285989695,-1891.4695642994848,0.17624745204884446,0.18012318155325802,0.32783554742356735,0.10003188557835858,0.2576780207226388,645,True,micro_only,3790.9391285989695,3792.9391285989695,3792.9391285989695,3.6328291309482665,0.0764997012350862
incidence_mean_leishmaniose,Leishmaniasis,UAI_mob,UAI Movilidad,Riesgo Salud,3791.6853379211734,3809.5623391883564,3791.7478379211734,-1891.8426689605867,-0.09558250824924358,0.20799198893791335,0.6458399809672265,0.09908039282095986,0.25669062357607386,645,True,micro_only,3791.6853379211734,3793.6853379211734,3793.6853379211725,4.379038453152134,0.05267717102426602
incidence_mean_leptospirose,Leptospirosis,UAI_mob,UAI Movilidad,Riesgo Salud,3791.75877508759,3809.635776354773,3791.82127508759,-1891.879387543795,0.07208641212197411,0.19445930576918957,0.7108596592869358,0.09916885992534424,0.2578916456298206,645,True,micro_only,3791.75877508759,3793.75877508759,3793.75877508759,4.452475619568759,0.050778020370862355
incidence_mean_malaria,Malaria,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3863.1469840106156,3881.0239852777986,3863.2094840106156,-1927.5734920053078,-0.6149484664686943,0.19101635656323593,0.001284816564853698,0.0400998613511726,0.10522478001335003,645,True,micro_only,3863.1469840106156,3865.1469840106156,3865.1469840106156,0.0,0.9017975759661205
health_hosp_resp_mean,Hosp. Respiratoria,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3869.310086658619,3887.187087925802,3869.372586658619,-1930.6550433293096,-0.4409760544181625,0.21407356872456815,0.03940546192194693,0.02413733754739639,0.06096812735566776,645,True,micro_only,3869.310086658619,3871.310086658619,3871.310086658619,6.163102648003587,0.04138169999439029
incidence_mean_dengue,Dengue,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3870.222563961309,3888.099565228492,3870.285063961309,-1931.1112819806544,-0.4007199167991262,0.21889616899757056,0.0671544073257652,0.023987074457003203,0.06617142580811883,645,True,micro_only,3870.222563961309,3872.222563961309,3872.222563961308,7.075579950693282,0.026222035388305066
health_death_circ_mean,Mort. Cardiovasc.,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3871.5590827199676,3889.4360839871506,3871.6215827199676,-1931.7795413599838,-0.2831460286637562,0.20583000181332034,0.1689360584215437,0.023724119543655244,0.07319321745577839,645,True,micro_only,3871.5590827199676,3873.5590827199676,3873.5590827199667,8.412098709351994,0.01344141649228112
incidence_diarrhea_mean,Diarrea,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3873.0982459565175,3890.9752472237005,3873.1607459565175,-1932.5491229782588,-0.11650711890012046,0.20074644088393417,0.5616654437451074,0.022902807027679693,0.07835527383120322,645,True,micro_only,3873.0982459565175,3875.0982459565175,3875.0982459565175,9.951261945901933,0.006226155857520857
incidence_mean_leptospirose,Leptospirosis,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3873.344428060078,3891.221429327261,3873.406928060078,-1932.672214030039,0.06151960189708292,0.20493024577456156,0.7640263092740904,0.02292698385147639,0.07993290246365899,645,True,micro_only,3873.344428060078,3875.344428060078,3875.344428060078,10.19744404946232,0.0055050621137200245
incidence_mean_leishmaniose,Leishmaniasis,UAI_Crisk,UAI Riesgo Clim.,Riesgo Salud,3873.373339764882,3891.250341032065,3873.435839764882,-1932.686669882441,-0.05087459383883079,0.2057885200093644,0.8047396378096945,0.023343578358217886,0.08215486129098921,645,True,micro_only,3873.373339764882,3875.373339764882,3875.373339764882,10.226355754266478,0.005426054187662039
