predictor,predictor_label,outcome,outcome_label,dimension,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,best_structure,aic_micro,aic_crossed,aic_nested,delta_aic,aic_weight
pct_pobreza,% Pobreza,UAI_housing,UAI Vivienda,Vulnerabilidad,4742.957885435459,4760.834886702642,4743.020385435459,-2367.4789427177293,-4.417874547206851,0.40425737860154687,8.434915631030129e-28,0.21111715344692542,0.27053729042299596,645,True,micro_only,4742.957885435459,4744.957885435459,4744.957885435459,0.0,0.9999964861596017
idx_vulnerabilidad,Vulnerabilidad (idx),UAI_housing,UAI Vivienda,Vulnerabilidad,4768.076193741124,4785.953195008307,4768.138693741124,-2380.038096870562,-3.6892745109722576,0.3954695923857827,1.0703089543429752e-20,0.18855956301359908,0.3206553006333261,645,True,micro_only,4768.076193741124,4770.076193741124,4770.076193741124,25.118308305665778,3.512587309980245e-06
pct_rural,% Rural,UAI_housing,UAI Vivienda,Vulnerabilidad,4783.953187605777,4801.83018887296,4784.015687605777,-2387.9765938028886,-3.643508818646436,0.44002727737072606,1.2298041634710737e-16,0.1713402702293033,0.3189833476156981,645,True,micro_only,4783.953187605777,4785.953187605777,4785.953187605777,40.99530217031861,1.2530884173387505e-09
pct_preta,% Pob. Negra,UAI_housing,UAI Vivienda,Vulnerabilidad,4839.987925162051,4857.864926429234,4840.050425162051,-2415.9939625810257,1.4622609563048126,0.46223826805525114,0.0015591888616371227,0.0984697910582243,0.22211703164606775,645,True,micro_only,4839.987925162051,4841.987925162051,4841.987925162051,97.0300397265928,8.515164806110771e-22
pct_indigena,% Pob. Indigena,UAI_housing,UAI Vivienda,Vulnerabilidad,4848.591090790074,4866.468092057257,4848.653590790074,-2420.295545395037,-0.4229237030815001,0.3969452043941401,0.28667412381056756,0.09409893025306913,0.2563375512830863,645,True,micro_only,4848.591090790074,4850.591090790074,4850.591090790074,105.63320535461571,1.1535578484107741e-23
idx_vulnerabilidad,Vulnerabilidad (idx),UAI_env,UAI Ambiental,Vulnerabilidad,3300.4860317278526,3318.3630329950356,3300.5485317278526,-1646.2430158639263,-0.44717647784589265,0.12625939233034297,0.0003975145200859237,0.03580210856359977,0.07545642427023404,645,True,micro_only,3300.4860317278526,3302.4860317278526,3302.4860317278535,0.0,0.5816693079827138
pct_rural,% Rural,UAI_env,UAI Ambiental,Vulnerabilidad,3301.544953837386,3319.421955104569,3301.607453837386,-1646.772476918693,-0.44183387447979783,0.12965396698133244,0.0006549056787854016,0.03429911804049831,0.07428346310867555,645,True,micro_only,3301.544953837386,3303.544953837386,3303.544953837386,1.0589221095333414,0.3425580156565711
pct_pobreza,% Pobreza,UAI_env,UAI Ambiental,Vulnerabilidad,3304.629663682371,3322.506664949554,3304.692163682371,-1648.3148318411854,-0.3734166700991213,0.1292742403651907,0.003870076139255564,0.029705324288989487,0.06975317401852825,645,True,micro_only,3304.629663682371,3306.629663682371,3306.629663682371,4.143631954518241,0.07326522745546467
pct_indigena,% Pob. Indigena,UAI_env,UAI Ambiental,Vulnerabilidad,3312.7412180242263,3330.6182192914093,3312.8037180242263,-1652.3706090121132,0.03065455809931123,0.12292481381498972,0.8030695722304099,0.021402690829774106,0.0774528683072779,645,True,micro_only,3312.7412180242263,3314.7412180242263,3314.7412180242263,12.255186296373722,0.0012691012067646136
pct_preta,% Pob. Negra,UAI_env,UAI Ambiental,Vulnerabilidad,3312.7902799220046,3330.6672811891876,3312.8527799220046,-1652.3951399610023,0.015225709204594519,0.13283503618305326,0.9087453874901054,0.021242604476474858,0.07695291217389602,645,True,micro_only,3312.7902799220046,3314.7902799220046,3314.7902799220046,12.304248194152024,0.0012383476984857496
