Variable_Vuln,Nombre_Vuln,Variable_X,Nombre_X,Variable_Y,Nombre_Y,r_Bajo,r_Alto,Diferencia,Direccion
idx_vulnerabilidad,Indice Compuesto,idx_gobernanza,UAI General,persist_dengue,Persist. Dengue,0.26998800565967124,0.19216465114833994,0.0778233545113313,Bajo > Alto
idx_vulnerabilidad,Indice Compuesto,idx_gobernanza,UAI General,persist_leptospirose,Persist. Leptospirosis,0.561411585707803,0.20214596153846387,0.35926562416933916,Bajo > Alto
idx_vulnerabilidad,Indice Compuesto,idx_gobernanza,UAI General,incidence_mean_dengue,Incid. Dengue,0.0306879908027688,-0.09845109850868096,0.12913908931144977,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_gobernanza,UAI General,flooding_risks,Riesgo Inundaciones,0.2086686882955633,0.21424491708978746,0.005576228794224175,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_gobernanza,UAI General,hydric_stress_risk,Riesgo Estres Hidrico,0.07944149955949346,-0.09000642555796759,0.16944792511746104,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_gobernanza,UAI General,pol_deficit,Deficit Polinizacion,-0.12160815120674658,-0.22377972098112733,0.10217156977438076,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_biodiv,Indice Biodiversidad,persist_dengue,Persist. Dengue,-0.017498778205275425,-0.11495791246313389,0.09745913425785846,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_biodiv,Indice Biodiversidad,persist_leptospirose,Persist. Leptospirosis,0.38405828197588215,0.4362407584405167,0.05218247646463453,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_biodiv,Indice Biodiversidad,incidence_mean_dengue,Incid. Dengue,-0.46095534787123577,-0.5593711511990146,0.09841580332777883,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_biodiv,Indice Biodiversidad,flooding_risks,Riesgo Inundaciones,0.22633195608765733,0.353813544649796,0.12748158856213865,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_biodiv,Indice Biodiversidad,hydric_stress_risk,Riesgo Estres Hidrico,-0.007666586195178994,0.19873913365556678,0.20640571985074577,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,idx_biodiv,Indice Biodiversidad,pol_deficit,Deficit Polinizacion,-0.49429909388634374,-0.7430169081810195,0.24871781429467577,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,forest_cover,Cobertura Forestal,persist_dengue,Persist. Dengue,-0.06035341333472177,-0.08192062944378814,0.021567216109066367,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,forest_cover,Cobertura Forestal,persist_leptospirose,Persist. Leptospirosis,0.3142822968335442,0.3529906469471179,0.03870835011357371,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,forest_cover,Cobertura Forestal,incidence_mean_dengue,Incid. Dengue,-0.42473912155044924,-0.5108564470092531,0.0861173254588039,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,forest_cover,Cobertura Forestal,flooding_risks,Riesgo Inundaciones,0.3471634782534719,0.40659089582510977,0.059427417571637886,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,forest_cover,Cobertura Forestal,hydric_stress_risk,Riesgo Estres Hidrico,0.027953868250978255,0.03718762009974406,0.009233751848765803,Alto > Bajo
idx_vulnerabilidad,Indice Compuesto,forest_cover,Cobertura Forestal,pol_deficit,Deficit Polinizacion,-0.7101218103953855,-0.8013717368585748,0.0912499264631893,Alto > Bajo
pct_rural,% Rural,idx_gobernanza,UAI General,persist_dengue,Persist. Dengue,0.3543152353548294,0.15135274919508382,0.20296248615974558,Bajo > Alto
pct_rural,% Rural,idx_gobernanza,UAI General,persist_leptospirose,Persist. Leptospirosis,0.6394765262495101,0.406636217245646,0.2328403090038641,Bajo > Alto
pct_rural,% Rural,idx_gobernanza,UAI General,incidence_mean_dengue,Incid. Dengue,0.017958045176702884,-0.10663915734336622,0.1245972025200691,Alto > Bajo
pct_rural,% Rural,idx_gobernanza,UAI General,flooding_risks,Riesgo Inundaciones,0.2526029545602832,0.19651629271761872,0.056086661842664476,Bajo > Alto
pct_rural,% Rural,idx_gobernanza,UAI General,hydric_stress_risk,Riesgo Estres Hidrico,0.13435675541906347,0.002635423870213724,0.13172133154884974,Bajo > Alto
pct_rural,% Rural,idx_gobernanza,UAI General,pol_deficit,Deficit Polinizacion,-0.2567207644353204,-0.2307015809535457,0.026019183481774677,Bajo > Alto
pct_rural,% Rural,idx_biodiv,Indice Biodiversidad,persist_dengue,Persist. Dengue,0.06376451285437605,-0.1079757247534145,0.17174023760779056,Alto > Bajo
