hypothesis,path,predictor,outcome,r_spearman,p_value,significant
H1.1,Biodiv → Climate,forest_cover,flooding_risks,0.3513375849395758,3.5635850833148316e-20,True
H1.1,Biodiv → Climate,forest_cover,fire_risk_index,-0.14879359081532195,0.00014902379221489522,True
H1.1,Biodiv → Climate,forest_cover,hydric_stress_risk,0.020157160224459222,0.6093599487171719,False
H1.1,Biodiv → Climate,mean_species_richness,flooding_risks,0.2719111002682018,2.1395094356449846e-12,True
H1.1,Biodiv → Climate,mean_species_richness,fire_risk_index,-0.03714346444293328,0.3462836603556414,False
H1.1,Biodiv → Climate,mean_species_richness,hydric_stress_risk,0.22523905887544254,7.305410557594497e-09,True
H1.1,Biodiv → Climate,pol_deficit,flooding_risks,-0.3534692754156427,2.0407891810472546e-20,True
H1.1,Biodiv → Climate,pol_deficit,fire_risk_index,0.18679150117320834,1.7809029828196337e-06,True
H1.1,Biodiv → Climate,pol_deficit,hydric_stress_risk,-0.08254288109675154,0.036096351123268096,True
H1.1,Climate → Health,flooding_risks,incidence_mean_dengue,-0.1745726938969106,8.223429557534322e-06,True
H1.1,Climate → Health,flooding_risks,incidence_mean_malaria,0.1259841491026878,0.0013451102365655292,True
H1.1,Climate → Health,flooding_risks,incidence_mean_leptospirose,0.2390732951082248,7.781487349975112e-10,True
H1.1,Climate → Health,flooding_risks,incidence_mean_leishmaniose,-0.06751570507846118,0.08665449709978393,False
H1.1,Climate → Health,flooding_risks,incidence_diarrhea_mean,-0.18114756129116788,3.656454172549502e-06,True
H1.1,Climate → Health,flooding_risks,health_death_circ_mean,-0.0443992536282037,0.2601785294317793,False
H1.1,Climate → Health,flooding_risks,health_hosp_resp_mean,-0.25871477435325196,2.5283756458482276e-11,True
H1.1,Climate → Health,fire_risk_index,incidence_mean_dengue,0.3168999711064307,1.636186616976521e-16,True
H1.1,Climate → Health,fire_risk_index,incidence_mean_malaria,0.10415711569742724,0.008112883558558647,True
H1.1,Climate → Health,fire_risk_index,incidence_mean_leptospirose,-0.20164961624604583,2.411147376903672e-07,True
H1.1,Climate → Health,fire_risk_index,incidence_mean_leishmaniose,-0.011649431090143481,0.7677685397775946,False
H1.1,Climate → Health,fire_risk_index,incidence_diarrhea_mean,0.14911682951806726,0.00014409988676965146,True
H1.1,Climate → Health,fire_risk_index,health_death_circ_mean,-0.1445100231119005,0.00023111557730649197,True
H1.1,Climate → Health,fire_risk_index,health_hosp_resp_mean,0.017590482007088837,0.6556616919324194,False
H1.1,Climate → Health,hydric_stress_risk,incidence_mean_dengue,0.058773051841001234,0.13594990082730496,False
H1.1,Climate → Health,hydric_stress_risk,incidence_mean_malaria,0.11157452455214359,0.004553849362136126,True
H1.1,Climate → Health,hydric_stress_risk,incidence_mean_leptospirose,0.0974479499370394,0.013287638905745261,True
H1.1,Climate → Health,hydric_stress_risk,incidence_mean_leishmaniose,-0.20457809269629953,1.5963002673123292e-07,True
H1.1,Climate → Health,hydric_stress_risk,incidence_diarrhea_mean,-0.030559912085503002,0.43845724759842664,False
H1.1,Climate → Health,hydric_stress_risk,health_death_circ_mean,-0.06883168627725829,0.0806738908649764,False
H1.1,Climate → Health,hydric_stress_risk,health_hosp_resp_mean,-0.10717137831150989,0.006442113586472362,True
H1.1,Biodiv → Health,forest_cover,incidence_mean_dengue,-0.45399767963171883,4.0767869909416935e-34,True
H1.1,Biodiv → Health,forest_cover,incidence_mean_malaria,0.074486890002654,0.05866572607889263,False
H1.1,Biodiv → Health,forest_cover,incidence_mean_leptospirose,0.23570049104080062,1.3610334557113571e-09,True
H1.1,Biodiv → Health,forest_cover,incidence_mean_leishmaniose,-0.1640272272372884,2.8381470882379846e-05,True
H1.1,Biodiv → Health,forest_cover,incidence_diarrhea_mean,-0.36306150704804463,1.5755110533553818e-21,True
H1.1,Biodiv → Health,forest_cover,health_death_circ_mean,-0.024243128265371776,0.5388221199865502,False
H1.1,Biodiv → Health,forest_cover,health_hosp_resp_mean,-0.3346633413538623,2.413861566939915e-18,True
H1.1,Biodiv → Health,mean_species_richness,incidence_mean_dengue,-0.4422404074183556,2.901442145549935e-32,True
H1.1,Biodiv → Health,mean_species_richness,incidence_mean_malaria,0.008019099167467323,0.8389254980607551,False
H1.1,Biodiv → Health,mean_species_richness,incidence_mean_leptospirose,0.3148568776319695,2.6106936102078915e-16,True
H1.1,Biodiv → Health,mean_species_richness,incidence_mean_leishmaniose,-0.4364625345035585,2.22177446448087e-31,True
H1.1,Biodiv → Health,mean_species_richness,incidence_diarrhea_mean,-0.4377785051508489,1.4022762486429365e-31,True
H1.1,Biodiv → Health,mean_species_richness,health_death_circ_mean,-0.17758725010945253,5.691881726736618e-06,True
H1.1,Biodiv → Health,mean_species_richness,health_hosp_resp_mean,-0.4207947752567047,4.570767995203043e-29,True
H1.1,Biodiv → Health,pol_deficit,incidence_mean_dengue,0.4172650788632073,1.4607683049553803e-28,True
H1.1,Biodiv → Health,pol_deficit,incidence_mean_malaria,-0.0895663393943783,0.022914074105748427,True
H1.1,Biodiv → Health,pol_deficit,incidence_mean_leptospirose,-0.2602764593602078,1.9010769438977716e-11,True
H1.1,Biodiv → Health,pol_deficit,incidence_mean_leishmaniose,0.25486761170024774,5.0632090006983306e-11,True
H1.1,Biodiv → Health,pol_deficit,incidence_diarrhea_mean,0.33872843063765834,8.841418666087602e-19,True
H1.1,Biodiv → Health,pol_deficit,health_death_circ_mean,-0.020812910981804558,0.5977671105251557,False
H1.1,Biodiv → Health,pol_deficit,health_hosp_resp_mean,0.32945704420050964,8.549605444344314e-18,True
