variable,type,label,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,delta_aic,aic_weight,outcome,outcome_label,predictor_dimension
idx_gobernanza_100,composite,Gobernanza (idx),9683.703257599886,9701.580258867069,9683.765757599886,-4837.851628799943,3.8773941269235004,0.9347303823270909,3.3518484537897076e-05,0.33524824973884176,0.6911988995491868,645,True,0.0,0.42528422499793556,incidence_mean_dengue,Dengue,Gobernanza
UAI_mob,specific,UAI Movilidad,9683.881545534714,9701.758546801897,9683.944045534714,-4837.940772767357,295.26027648198107,71.53115338071865,3.6638444004846274e-05,0.33360665760103714,0.693500864960622,645,True,0.1782879348284041,0.38901338146812364,incidence_mean_dengue,Dengue,Gobernanza
UAI_housing,specific,UAI Vivienda,9685.37397615345,9703.250977420634,9685.43647615345,-4838.686988076725,171.6915772444365,43.69396160386856,8.515383057742229e-05,0.3379261877790406,0.6845568753299005,645,True,1.670718553565166,0.18445369074801404,incidence_mean_dengue,Dengue,Gobernanza
UAI_env,specific,UAI Ambiental,9697.112588202053,9714.989589469236,9697.175088202053,-4844.556294101027,144.6535875010615,77.26504360576256,0.06118256754864254,0.33171745419470866,0.6772376342611625,645,True,13.409330602167756,0.0005210508761785138,incidence_mean_dengue,Dengue,Gobernanza
UAI_Crisk,specific,UAI Riesgo Clim.,9697.249179685841,9715.126180953024,9697.311679685841,-4844.624589842921,145.56374599630846,79.25203325908637,0.06625133163812988,0.3291995491158934,0.6812555935278637,645,True,13.54592208595568,0.00048665329328545926,incidence_mean_dengue,Dengue,Gobernanza
UAI_food,specific,UAI Alimentación,9698.654701192741,9716.531702459924,9698.717201192741,-4845.327350596371,80.36869974034634,57.48566316906599,0.16209351730183708,0.3310041944578822,0.6760627416488785,645,True,14.951443592855867,0.0002409986164628637,incidence_mean_dengue,Dengue,Gobernanza
fire_risk_index,specific,Riesgo Fuego (idx),9673.1603065633,9691.037307830484,9673.2228065633,-4832.58015328165,7.972078568104903,1.5080310131683958,1.2473637440136563e-07,0.35693015815966456,0.6719726613163763,645,True,0.0,0.999945733823744,incidence_mean_dengue,Dengue,Riesgo Climático
hydric_stress_risk,specific,Estrés Hídrico,9694.10307557593,9711.980076843112,9694.16557557593,-4843.051537787965,341.2722126116721,133.4628902671235,0.010556193033335338,0.333952186987997,0.6780836129179139,645,True,20.94276901262856,2.83342631403299e-05,incidence_mean_dengue,Dengue,Riesgo Climático
idx_clima,composite,Clima (idx),9694.529624944562,9712.406626211745,9694.592124944562,-4843.264812472281,3.45464225003636,1.3960862314362004,0.013341563183068002,0.32937596249352197,0.6850269051717779,645,True,21.36931838126111,2.2892219652956218e-05,incidence_mean_dengue,Dengue,Riesgo Climático
flooding_risks,specific,Riesgo Inundación,9698.567705792659,9716.444707059842,9698.630205792659,-4845.283852896329,126.97856980009405,88.82099783745944,0.1528316250530925,0.3283835559706134,0.6806277667238607,645,True,25.407399229357907,3.0396934625200012e-06,incidence_mean_dengue,Dengue,Riesgo Climático
