Variable_Y,Tipo_Y,Variable_X,Tipo_X,Beta_OLS,p_OLS,R2_OLS,Beta_Mixed,p_Mixed,ICC,n
Carga Enfermedad,SALUD,UAI General,Gobernanza,0.00783674477285065,0.9733406434172602,1.7382299417612046e-06,0.6313439779555052,0.001537907486151104,0.4459631129886576,645
Carga Enfermedad,SALUD,UAI Ambiental,Gobernanza,0.08759001231161281,0.7087493989205709,0.00021714258097416117,0.3613997359678725,0.05626227681910488,0.43436947999433984,645
Carga Enfermedad,SALUD,UAI Riesgo Clim.,Gobernanza,-0.5066201205342211,0.030437227501118904,0.007264415704288263,0.15587256678278572,0.4422517577845487,0.4357965272811646,645
Carga Enfermedad,SALUD,Indice Biodiv,Biodiversidad,-1.9313012950282036,2.527543009180987e-17,0.10556887274578264,-0.8707569959956768,0.006726223203180594,0.37484150811041533,645
Carga Enfermedad,SALUD,Cobertura Forestal,Biodiversidad,-0.6190430450937516,0.00812026629271591,0.01084619774695772,0.016610242401467672,0.9597931601419407,0.4337831091792838,645
Riesgo Climatico,CLIMA,UAI General,Gobernanza,4.865234730590121,4.828070051535754e-21,0.12881474395796455,3.2608536115434297,2.454434524352516e-10,0.25944661725742624,645
Riesgo Climatico,CLIMA,UAI Ambiental,Gobernanza,2.607316521671564,8.592096451004883e-07,0.03699520952019053,1.2912533231987497,0.008238374964061304,0.3161455885268209,645
Riesgo Climatico,CLIMA,UAI Riesgo Clim.,Gobernanza,4.5385524136755855,2.329478590597419e-18,0.11209666410325747,2.742883375042399,1.4953058954171816e-07,0.27199305220401837,645
Riesgo Climatico,CLIMA,Indice Biodiv,Biodiversidad,4.153604658000417,1.7342999212039814e-15,0.09388761212582697,3.450702842171269,1.958876561059114e-06,0.287778514176624,645
Riesgo Climatico,CLIMA,Cobertura Forestal,Biodiversidad,4.4062104855651905,2.4498652682271985e-17,0.10565461147014066,2.715651090955908,0.0005122986759429468,0.24007812108219062,645
Deficit Polinizacion,NUTRICION,UAI General,Gobernanza,-0.041909235458765695,3.2960119894888814e-09,0.053018249194744405,0.002888253745353293,0.5715583676680098,0.71339267523813,645
Deficit Polinizacion,NUTRICION,UAI Ambiental,Gobernanza,-0.016703019486553686,0.019750527066903986,0.008421624653769388,0.003989454292079471,0.4021553232332702,0.7123332755989825,645
Deficit Polinizacion,NUTRICION,UAI Riesgo Clim.,Gobernanza,-0.04704824095157537,2.6331559640320382e-11,0.0668178791828743,-0.00254002222269399,0.6215036752133275,0.7078036438944038,645
Deficit Polinizacion,NUTRICION,Indice Biodiv,Biodiversidad,-0.029028402247013942,4.72783843616602e-05,0.025436196461570804,0.04384997050388206,1.2819765098400992e-07,0.7525694749216483,645
Deficit Polinizacion,NUTRICION,Cobertura Forestal,Biodiversidad,-0.1138516340912573,2.462034527634413e-71,0.3912771102914979,-0.04365284155088973,0.00016375947987855432,0.5852374055197997,645
