Unnamed: 0,Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,idx_clima,idx_biodiv,idx_vulnerabilidad,idx_gobernanza,idx_gobernanza_100,incidence_malaria_norm,incidence_dengue_norm,incidence_diarrhea_norm,incidence_leptospirose_norm,incidence_chagas_norm,idx_carga_enfermedad,tercil_clima,tercil_biodiv,tercil_vuln,grupo_clima_biodiv
6,3536208,Pariquera-Açu,12.7,1.8,27,64.6,68.0,94.1,0.33,0.63,1.0,0.4,0.4,18839.5,841.5,123.5,10567.0,25.8,74.2,0.600520542687,678.358974358974,714,4.99,353620,0.52,0.53,0.7,0.39,PARIQUERA-ACU,1.0,2.0,9.0,6.0,0.0,5.30799649672231,5.30799649672231,26.5399824836116,299.901802064811,0.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,55.86464874084096,74.49583714939641,30.897661296868336,0.5519999999999999,55.199999999999996,9.801034555094693,6.629489493586463,2.1059154063641854,12.105936903743487,0.0,6.128475271757766,Medio,Alta,Media,Medio Clima / Alta Biodiv
13,3521200,Iporanga,40.0,2.5,1,90.9,74.3,100.0,0.0,0.38,0.25,0.4,0.2,4172.5,552.0,9.0,992.0,53.2,46.8,0.535368649205,660.485333333333,767,13.89,352120,0.38,0.3,0.06,0.17,IPORANGA,1.0,0.0,2.0,1.0,0.0,23.9664469742361,0.0,23.9664469742361,143.798681845416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.927526496492018,85.87584742868845,36.31413034834229,0.246,24.6,44.25322720208671,3.037955448606381,1.8764903007782854,0.0,0.0,9.833534590294276,Bajo,Alta,Alta,Bajo Clima / Alta Biodiv
15,3502705,Apiaí,0.0,2.0,13,66.0,72.5,71.5,0.0,0.63,0.25,0.4,0.8,24888.0,1006.0,20.0,11680.0,21.5,78.5,0.752799459509,636.427215189873,726,12.34,350270,0.7,0.72,0.48,0.47,APIAI,1.0,1.0,10.0,3.0,0.0,4.0180006428801,8.03600128576021,43.7962070073931,58.9306760955748,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,62.53340130155976,71.043421724132,33.25738701145505,0.41600000000000004,41.6,7.419101193374576,1.085359423929039,3.644270373280213,18.32769192366407,0.0,6.09528458284958,Alto,Alta,Media,Alto Clima / Alta Biodiv
17,3514809,Eldorado,20.1,2.1,4,82.6,75.1,94.5,0.33,0.5,0.75,0.4,0.4,13855.0,1691.0,79.0,5539.5,47.4,52.6,0.681582722858,675.707224334601,752,10.15,351480,0.67,0.69,0.15,0.3,ELDORADO,1.0,3.0,2.0,6.0,0.0,7.21761097076867,7.21761097076867,7.21761097076867,50.5232767953807,0.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,46.62525607188117,83.23323982642825,34.32937789067752,0.476,47.599999999999994,13.3270725731293,0.8919266419708651,0.3833679193160242,16.461190782971876,0.0,6.212711583477613,Bajo,Alta,Media,Bajo Clima / Alta Biodiv
20,3532827,Nova Campina,23.4,1.6,0,39.9,75.6,86.2,0.33,0.25,0.75,0.2,0.2,8506.0,210.0,4.0,5730.5,29.0,71.0,0.782947728824,647.612903225806,691,6.28,353282,0.43,0.0,0.43,0.56,NOVA CAMPINA,0.0,0.0,5.0,1.0,0.0,0.0,0.0,11.7564072419469,11.7564072419469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.36707129993998,59.10111728623069,38.974257927619945,0.346,34.599999999999994,0.0,0.0,0.7879917568167712,0.0,0.0,0.15759835136335426,Bajo,Alta,Alta,Bajo Clima / Alta Biodiv
21,3517604,Guapiara,10.2,2.0,7,44.6,70.9,52.7,0.33,0.5,0.5,0.2,0.2,17534.5,283.0,6.5,9224.5,59.5,40.5,0.827560554096,691.038759689922,735,5.98,351760,0.4,0.0,0.64,0.49,GUAPIARA,2.0,0.0,8.0,5.0,0.0,5.70304257321281,0.0,11.4060851464256,55.8898172174855,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,40.81738144467418,65.75149007788285,38.924146828745386,0.346,34.599999999999994,10.530473666241216,1.0153970287425218,0.7567613022684478,0.0,0.0,2.460526399450437,Bajo,Alta,Alta,Bajo Clima / Alta Biodiv
28,3541000,Praia Grande,10.7,2.1,532,68.7,75.6,72.6,1.0,0.63,0.0,1.0,0.4,305993.0,23755.5,450.5,165968.5,0.3,99.7,0.0,653.717391304348,691,5.4,354100,0.94,1.0,1.0,0.69,PRAIA GRANDE,0.0,9.0,10.0,7.0,0.0,0.0,1.34353109747972,2.94124375394208,293.050587991976,0.0,10.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,7.0,0.0,0.0,97.4025974025974,74.10563212088039,36.73204903926843,0.606,60.6,0.0,6.4718605585757425,0.002139062488398889,3.064188664093918,0.0,1.907637657031612,Alto,Alta,Alta,Alto Clima / Alta Biodiv
29,3522109,Itanhaém,9.1,2.1,239,85.9,78.6,58.2,0.67,0.5,0.75,1.0,0.6,99766.5,7097.5,403.0,54509.0,1.1,98.9,0.26817291975,651.775401069519,786,17.08,352210,0.94,1.0,0.78,0.61,ITANHAEM,2.0,7.0,10.0,7.0,0.0,1.50351069747861,2.7206384049613,4.61076613893441,743.73662501942,0.0,9.0,2.0,2.0,2.0,0.0,7.0,5.0,0.0,7.0,0.0,0.0,88.95413097540757,82.513320842589,40.31885685709336,0.704,70.39999999999999,2.7761812407076465,16.840995033955107,0.15097335992066396,6.204954522615217,0.0,5.194620831439726,Alto,Alta,Alta,Alto Clima / Alta Biodiv
30,3551009,São Vicente,12.9,1.7,843,69.4,80.5,74.5,1.0,0.5,0.5,1.0,1.0,331178.0,29646.5,422.5,165029.5,0.1,99.9,0.840241730213,616.061224489796,743,17.08,355100,0.94,0.0,1.0,0.63,SAO VICENTE,5.0,10.0,10.0,8.0,0.0,0.543514363876828,2.83835278913454,11.896925520415,42.5752918370182,0.0,10.0,5.0,5.0,3.0,0.0,10.0,8.0,0.0,8.0,0.0,0.0,70.45454545454545,70.72661976758286,40.5360741904928,0.8,80.0,1.003580741780167,0.709063810485951,0.8005186563900807,6.473425481166946,0.0,1.7973177379646288,Alto,Alta,Alta,Alto Clima / Alta Biodiv
32,3553500,Tapiraí,0.0,2.6,4,88.7,72.2,92.1,0.0,0.25,0.0,0.4,0.4,8004.0,421.5,84.5,4648.5,29.3,70.7,0.57927876529,683.244979919679,795,14.06,355350,0.48,0.34,0.21,0.33,TAPIRAI,1.0,1.0,4.0,4.0,0.0,12.4937531234383,12.4937531234383,18.7406296851574,34.3578210894553,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,34.98525661181567,87.02968817926566,26.66126892765343,0.21000000000000002,21.000000000000004,23.069289168004357,0.5200007993685525,1.4106200305015646,28.494477548485243,0.0,10.698877509271943,Bajo,Alta,Baja,Bajo Clima / Alta Biodiv
