cod_ibge,Municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao,population,pct_rural,pct_urbana,population_preta,population_branca,population_indigena,pct_pobreza,pct_preta,pct_indigena,n_pessoas_pobreza,n_familias_rua,mort_infantil,IDESP_ensino_medio,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,idx_gobernanza,idx_gobernanza_100,mean_species_richness,max_species_richness,Vert_rich_risk,forest_cover,pol_deficit,idx_biodiv,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,idx_clima,persist_dengue,persist_leishmaniose,persist_leptospirose,persist_malaria,incidence_mean_dengue,incidence_mean_leishmaniose,incidence_mean_leptospirose,incidence_mean_malaria,incidence_max_dengue,incidence_max_leishmaniose,incidence_max_leptospirose,incidence_max_malaria,total_cases_dengue,total_cases_leishmaniose,total_cases_leptospirose,total_cases_malaria,copresence_years,copresence_3plus,copresence_all4,dengue_leptospirose,dengue_malaria,dengue_leishmaniose,leptospirose_malaria,leptospirose_leishmaniose,malaria_leishmaniose,idx_vulnerabilidad,idx_carga_enfermedad,tercil_biodiv,tercil_clima,tercil_vuln,grupo_clima_biodiv,cuadrante
350990,Cananéia,35055,Registro,3514,Litoral Sul Paulista,12257.5,11.8,88.2,639.5,6948.0,148.0,0.6330817866612277,5.2172139506424635,1.2074240261064655,77.6,15,24.1,1.7,85.2,0.33,0.38,0.5,0.6,0.2,0.402,40.2,614.249382716049,717,14.33,85.3,0.459919990992,71.69439364467468,0.5,0.5,0.2,0.28,39.0,10,2,8,1,434.454747977467,1.58686109482827,24.7293394065156,0.797511763298509,1905.06429591999,7.93776789966661,55.8213716108453,7.97511763298509,547,2,31,1,8,3,0,8,1,2,1,2,0,17.45115246772378,7.754524350857331,Media,Alto,Media,Alto Clima / Media Biodiv,Q4_Desarrollo
352042,Ilha Comprida,35055,Registro,3514,Litoral Sul Paulista,11222.0,2.1,97.9,662.0,6522.5,14.5,0.5916948850472287,5.899126715380502,0.12921047941543395,66.4,5,21.1,2.7,60.0,0.0,0.38,0.5,0.6,0.2,0.33599999999999997,33.599999999999994,375.786885245902,667,43.66,70.7,0.566227317213,24.465497339662345,0.12,0.0,0.78,0.0,0.0,10,5,9,1,457.595375210277,5.94198881690178,25.3178463924047,0.938438438438438,2137.79030220581,19.7980597901406,49.4951494753514,9.38438438438438,461,6,26,1,9,5,1,9,1,5,1,5,1,14.069598048757085,8.608116263986528,Baja,Bajo,Media,Bajo Clima / Baja Biodiv,Q2_Conservar
350540,Barra do Turvo,35055,Registro,3514,Litoral Sul Paulista,7302.5,55.0,45.0,406.5,2905.0,18.0,1.0352618966107496,5.566586785347484,0.24649092776446424,75.6,0,17.5,1.6,94.8,1.0,0.75,0.75,0.2,0.4,0.62,62.0,677.859375,739,8.27,76.3,0.630879122743,84.2927257153914,0.35,0.34,0.13,0.14,24.000000000000004,7,8,7,1,52.377138797725,59.1682285843188,24.5525587589927,3.80807311500381,153.767298821117,127.746550843127,64.2590926616116,38.0807311500381,41,46,19,3,8,5,0,5,1,6,0,5,1,34.30828568323532,12.208409815404444,Alta,Medio,Alta,Medio Clima / Alta Biodiv,Q4_Desarrollo
350925,Cajati,35055,Registro,3514,Litoral Sul Paulista,28443.5,23.1,76.9,1072.0,14047.0,17.0,0.25383655316680437,3.768875138432331,0.05976760947140823,72.2,61,9.2,2.3,83.2,0.67,0.63,0.25,0.8,0.6,0.5900000000000001,59.00000000000001,687.527397260274,751,8.45,60.5,0.79226896465,86.2075342309828,0.61,0.62,0.75,0.53,57.49999999999999,10,8,10,1,341.223470517809,7.65865306756015,18.5143569679714,0.353269509308652,1755.05007054613,20.7497579194909,32.1154099371501,3.53269509308652,980,22,53,1,10,8,1,10,1,8,1,8,1,14.667999231155438,6.637118789000853,Alta,Alto,Media,Alto Clima / Alta Biodiv,Q1_Modelo
352460,Jacupiranga,35055,Registro,3514,Litoral Sul Paulista,16652.5,34.3,65.7,581.5,8965.0,15.0,0.4599909923434919,3.4919681729470047,0.09007656508031828,76.6,21,5.6,1.4,93.9,0.67,0.38,0.5,0.6,0.2,0.47000000000000003,47.0,659.868778280543,730,9.61,71.0,0.637360243448,80.72958251282178,0.52,0.45,0.44,0.48,46.5,9,5,10,2,1383.80475690391,4.00793535187442,24.3202143968186,1.13934558916796,11853.2666704118,17.420591138726,56.1766192910511,5.80686371290866,2457,7,43,2,10,5,1,9,1,5,2,5,1,19.205492206593114,16.527986447310827,Media,Alto,Media,Alto Clima / Media Biodiv,Q4_Desarrollo
353620,Pariquera-Açu,35055,Registro,3514,Litoral Sul Paulista,18839.5,25.8,74.2,841.5,10567.0,123.5,0.36094376177711723,4.466679051991826,0.6555375673452056,68.0,27,12.7,1.8,94.1,0.33,0.63,1.0,0.4,0.4,0.5519999999999999,55.199999999999996,678.358974358974,714,4.99,64.6,0.600520542687,84.39167429879282,0.52,0.53,0.7,0.39,46.0,10,4,10,2,685.497010178954,2.09153257357586,81.0515475194702,1.60251528279871,5254.95088102292,5.40306894315971,191.551045765169,10.9152907942621,1316,4,156,3,10,6,0,10,2,4,2,4,0,18.389608416292216,18.151744113608235,Alta,Alto,Media,Alto Clima / Alta Biodiv,Q4_Desarrollo
352215,Itaoca,35044,Capão Bonito,3511,Itapetininga,3325.0,53.1,46.9,172.5,1064.5,0.5,2.2947368421052627,5.18796992481203,0.015037593984962405,76.3,0,43.5,2.0,57.7,1.0,0.38,1.0,0.2,0.2,0.556,55.60000000000001,675.983870967742,730,7.4,52.2,0.946309786576,83.92127114119683,0.4,0.32,0.37,0.37,34.5,2,10,1,0,17.9892154644297,136.628369152711,2.999400119976,0.0,119.868145040456,240.096038415366,29.99400119976,0.0,6,45,1,0,3,0,0,0,0,2,0,1,0,40.22108684951454,16.863768668172032,Alta,Alto,Alta,Alto Clima / Alta Biodiv,Q4_Desarrollo
354280,Ribeira,35044,Capão Bonito,3511,Itapetininga,3245.0,46.8,53.2,111.5,1730.0,1.0,2.274268104776579,3.436055469953775,0.030816640986132512,73.8,0,23.8,2.6,48.0,0.0,0.75,0.5,0.2,0.6,0.41,41.0,652.363636363636,701,6.94,60.2,0.541969004288,79.24314513542086,0.33,0.32,0.19,0.2,26.0,3,10,1,0,17.6491052631316,145.377565062844,2.91800408520572,0.0,117.370892018779,294.204177699323,29.1800408520572,0.0,6,49,1,0,3,1,0,1,0,3,0,1,0,34.282947889855016,17.892355601698682,Media,Medio,Alta,Medio Clima / Media Biodiv,Q4_Desarrollo
352265,Itapirapuã Paulista,35044,Capão Bonito,3511,Itapetininga,4093.0,54.8,45.2,86.5,2124.5,0.0,2.1475690202785245,2.1133642804788666,0.0,87.9,0,0.0,2.1,84.1,0.0,0.25,0.25,0.2,0.2,0.18,18.0,636.658914728682,678,6.1,46.2,0.653110451004,76.13273290093865,0.4,0.39,0.21,0.21,30.0,3,7,0,0,9.5979622657289,33.6582316100078,0.0,0.0,48.3675937122128,141.476066965338,0.0,0.0,4,14,0,0,3,0,0,0,0,3,0,0,0,33.445823491014366,4.097384812764641,Media,Alto,Alta,Alto Clima / Media Biodiv,Q3_Vulnerable
354260,Registro,35055,Registro,3514,Litoral Sul Paulista,57104.0,12.7,87.3,2423.0,32357.5,73.5,0.12591061922107033,4.243135332025778,0.12871252451667134,71.9,166,11.5,2.0,90.9,0.67,0.38,0.75,0.8,0.8,0.68,68.0,677.201754385965,716,5.42,55.6,0.672104769324,84.16248009556523,0.73,0.77,0.78,0.4,58.5,10,1,10,6,743.661800683521,0.710202052483932,21.5713845308216,1.43976128119569,4335.12107335673,7.10202052483932,33.7345974929868,3.68066546431595,4138,4,120,8,10,6,1,10,6,1,6,1,1,11.406078632658883,10.170042116973898,Alta,Alto,Baja,Alto Clima / Alta Biodiv,Q1_Modelo
352030,Iguape,35055,Registro,3514,Litoral Sul Paulista,28978.0,22.8,77.2,1215.0,15655.0,220.5,0.2601973911243012,4.1928359445096275,0.7609220788184139,75.4,34,6.6,2.1,83.6,0.33,0.25,0.25,0.6,0.4,0.366,36.6,641.471786833856,717,10.53,86.8,0.554919919824,77.0859504508513,0.59,0.61,0.29,0.36,48.5,10,4,10,1,806.820575625969,3.32899552046819,20.366187813243,0.326328155593265,2165.80310880829,16.5980613464347,36.0431206789213,3.26328155593265,2381,10,61,1,10,5,0,10,1,4,1,4,0,16.299112644057615,10.502940825640179,Media,Alto,Media,Alto Clima / Media Biodiv,Q4_Desarrollo
350535,Barra do Chapéu,35044,Capão Bonito,3511,Itapetininga,5211.5,63.2,36.8,211.0,2152.5,2.5,1.5158783459656529,4.048738367072819,0.04797083373309028,79.0,0,11.0,1.9,76.9,0.0,0.13,0.0,0.0,0.2,0.066,6.6000000000000005,645.674418604651,688,6.15,46.4,0.732243741789,77.91830632322858,0.33,0.32,0.26,0.33,32.5,0,2,2,0,0.0,9.20129774924482,3.57165267083863,0.0,0.0,53.715308863026,18.1356546971346,0.0,0,5,2,0,0,0,0,0,0,0,0,0,0,36.61365399085645,1.5939620323481225,Media,Alto,Alta,Alto Clima / Media Biodiv,Q3_Vulnerable
352120,Iporanga,35044,Capão Bonito,3511,Itapetininga,4172.5,53.2,46.8,552.0,992.0,9.0,1.7807070101857398,13.229478729778311,0.21569802276812464,74.3,1,40.0,2.5,100.0,0.0,0.38,0.25,0.4,0.2,0.246,24.6,660.485333333333,767,13.89,90.9,0.535368649205,80.8516948573769,0.38,0.3,0.06,0.17,23.5,5,10,6,2,147.394292930385,209.725225357693,37.607053209706,4.70778646938842,1167.31517509728,450.45045045045,237.079184447606,23.7079184447606,64,90,16,2,7,5,1,4,1,5,2,6,2,54.24252630607085,33.11661920570876,Alta,Medio,Alta,Medio Clima / Alta Biodiv,Q3_Vulnerable
350715,Bom Sucesso de Itararé,35041,Itapeva,3511,Itapetininga,3563.0,30.3,69.7,146.0,2310.5,1.0,2.17793993825428,4.09767050238563,0.028066236317709797,77.6,0,0.0,1.6,100.0,0.0,0.25,0.5,0.2,0.0,0.19,19.0,626.777777777778,668,6.17,49.3,0.691559250581,74.17571577086228,0.79,0.0,0.5,0.47,23.5,4,1,3,0,20.8446064430087,11.229583214019,7.8719816771889,0.0,78.3085356303837,112.29583214019,26.5111346765642,0.0,8,4,3,0,2,0,0,2,0,0,0,0,0,29.433829415535246,2.619339977325647,Media,Medio,Alta,Medio Clima / Media Biodiv,Q3_Vulnerable
350270,Apiaí,35044,Capão Bonito,3511,Itapetininga,24888.0,21.5,78.5,1006.0,11680.0,20.0,0.29130504660880746,4.0421086467373835,0.08036001285760207,72.5,13,0.0,2.0,71.5,0.0,0.63,0.25,0.4,0.8,0.41600000000000004,41.6,636.427215189873,726,12.34,66.0,0.752799459509,76.086843448264,0.7,0.72,0.48,0.47,59.5,5,7,6,3,18.3250030531997,4.83531216913001,4.41782397607233,1.2059801340135,111.062631391059,16.4109296791663,16.4109296791663,4.03394972085068,46,12,11,3,6,5,0,4,1,5,0,5,1,14.943667400633055,1.7571007837431618,Media,Alto,Media,Alto Clima / Media Biodiv,Q1_Modelo
352330,Itariri,35056,Itanhaém,3514,Litoral Sul Paulista,15499.5,23.0,77.0,1071.0,7216.0,87.0,0.5058227684764025,6.909900319365141,0.561308429304171,78.4,7,6.7,1.6,72.7,0.67,0.25,0.75,0.6,0.2,0.49400000000000005,49.400000000000006,657.46511627907,735,10.55,76.2,0.597142196766,80.25352315495952,0.52,0.53,0.72,0.59,56.00000000000001,10,10,8,0,548.827310610964,33.0766005628424,16.0981911768404,0.0,3747.24028880005,70.9513392065275,52.1104742053153,0.0,911,55,27,0,10,8,0,8,0,10,0,8,0,23.324290367600764,11.055571549132914,Media,Alto,Alta,Alto Clima / Media Biodiv,Q4_Desarrollo
351480,Eldorado,35055,Registro,3514,Litoral Sul Paulista,13855.0,47.4,52.6,1691.0,5539.5,79.0,0.5420425839047275,12.20498015156983,0.5701912666907253,75.1,4,20.1,2.1,94.5,0.33,0.5,0.75,0.4,0.4,0.476,47.599999999999994,675.707224334601,752,10.15,82.6,0.681582722858,83.8664796528565,0.67,0.69,0.15,0.3,49.5,10,9,10,1,310.693823137731,35.6590056897476,28.9546050446368,0.654065014062398,1981.88738679617,116.174002839809,77.4493352265393,6.54065014062398,469,54,44,1,10,9,1,10,1,9,1,9,1,43.016955517830446,11.257559051375416,Alta,Alto,Alta,Alto Clima / Alta Biodiv,Q4_Desarrollo
353760,Peruíbe,35056,Itanhaém,3514,Litoral Sul Paulista,64062.5,2.4,97.6,4334.5,35186.5,486.0,0.11894634146341465,6.766048780487805,0.7586341463414634,76.2,150,12.1,1.9,88.9,1.0,0.88,0.5,0.6,0.4,0.6759999999999999,67.6,648.094339622642,720,9.99,80.6,0.335748730175,78.39758587467807,0.31,0.0,0.78,0.61,30.5,10,4,10,5,785.219696472667,0.901529868711576,15.774986972966,1.12069866408854,3495.53858890626,3.03457902802434,38.0719062437926,4.96590081440773,5043,6,101,7,10,6,3,10,5,4,5,4,3,13.852784501520636,9.648317108233824,Media,Alto,Media,Alto Clima / Media Biodiv,Q1_Modelo
354300,Ribeirão Branco,35044,Capão Bonito,3511,Itapetininga,18448.0,46.5,53.5,395.5,11676.0,21.5,0.43961405030355594,2.143863833477884,0.11654379878577624,81.1,0,7.2,2.8,77.8,0.0,0.0,0.75,0.4,0.2,0.26999999999999996,26.999999999999996,657.349775784753,704,6.63,43.9,0.766855025181,80.23067929354039,0.4,0.0,0.5,0.52,26.0,3,0,7,0,7.34617489442573,0.0,10.3299178371416,0.0,39.6690468094752,0.0,23.2288037166086,0.0,13,0,18,0,2,0,0,2,0,0,0,0,0,20.462851117614775,1.5030228258671054,Media,Medio,Alta,Medio Clima / Media Biodiv,Q3_Vulnerable
