cod_ibge,Municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao,population,pct_rural,pct_urbana,population_preta,population_branca,population_indigena,pct_pobreza,pct_preta,pct_indigena,n_pessoas_pobreza,n_familias_rua,mort_infantil,IDESP_ensino_medio,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,idx_gobernanza,idx_gobernanza_100,mean_species_richness,max_species_richness,Vert_rich_risk,forest_cover,pol_deficit,idx_biodiv,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,idx_clima,persist_dengue,persist_leishmaniose,persist_leptospirose,persist_malaria,incidence_mean_dengue,incidence_mean_leishmaniose,incidence_mean_leptospirose,incidence_mean_malaria,incidence_max_dengue,incidence_max_leishmaniose,incidence_max_leptospirose,incidence_max_malaria,total_cases_dengue,total_cases_leishmaniose,total_cases_leptospirose,total_cases_malaria,copresence_years,copresence_3plus,copresence_all4,dengue_leptospirose,dengue_malaria,dengue_leishmaniose,leptospirose_malaria,leptospirose_leishmaniose,malaria_leishmaniose,idx_vulnerabilidad,idx_carga_enfermedad,tercil_biodiv,tercil_clima,tercil_vuln,grupo_clima_biodiv,cuadrante,fire_incidence_mean,fire_incidence_max,fire_frp_mean,fire_frp_max,fire_total_foci,fire_frp_total,fire_years_with_fire,fire_recurrence,fire_cv,fire_dry_season_pct,fire_max_consecutive_years,fire_risk_index,health_hosp_circ_mean,health_hosp_resp_mean,health_hosp_heat_mean,health_hosp_circ_max,health_hosp_resp_max,health_hosp_heat_max,health_death_circ_mean,health_death_resp_mean,health_death_heat_mean,health_death_circ_max,health_death_resp_max,health_death_heat_max,health_total_hosp_circ,health_total_hosp_resp,health_total_hosp_heat,health_total_death_circ,health_total_death_resp,health_total_death_heat
350990,Cananéia,35055,Registro,3514,Litoral Sul Paulista,12257.5,11.8,88.2,639.5,6948.0,148.0,0.6330817866612277,5.217213950642464,1.2074240261064657,77.6,15,24.1,1.7,85.2,0.33,0.38,0.5,0.6,0.2,0.402,40.2,614.249382716049,717,14.33,85.3,0.459919990992,71.69439364467468,0.5,0.5,0.2,0.28,39.0,10,2,8,1,434.454747977467,1.58686109482827,24.7293394065156,0.797511763298509,1905.06429591999,7.93776789966661,55.8213716108453,7.97511763298509,547,2,31,1,8,3,0,8,1,2,1,2,0,17.45115246772378,7.754524350857331,Media,Alto,Media,Alto Clima / Media Biodiv,Q4_Desarrollo,1.25,2.0,9.5625,18.3,5.0,47.5,4.0,0.4,0.4,0.6,3.0,14.552748970495491,553.8014533099195,402.9039364494012,0.0,777.5309425579181,515.7170923379175,0.0,202.04029468812533,100.87935896470728,0,247.22864662253767,135.57699976074647,0,691,502,0,252,126,0
352042,Ilha Comprida,35055,Registro,3514,Litoral Sul Paulista,11222.0,2.1,97.9,662.0,6522.5,14.5,0.5916948850472287,5.899126715380502,0.1292104794154339,66.4,5,21.1,2.7,60.0,0.0,0.38,0.5,0.6,0.2,0.3359999999999999,33.599999999999994,375.786885245902,667,43.66,70.7,0.566227317213,24.465497339662345,0.12,0.0,0.78,0.0,0.0,10,5,9,1,457.595375210277,5.94198881690178,25.3178463924047,0.938438438438438,2137.79030220581,19.7980597901406,49.4951494753514,9.38438438438438,461,6,26,1,9,5,1,9,1,5,1,5,1,14.069598048757085,8.608116263986528,Baja,Bajo,Media,Bajo Clima / Baja Biodiv,Q2_Conservar,1.0,1.0,8.3,8.3,1.0,8.3,1.0,0.1,,0.0,1.0,5.149980628774496,841.4370278730091,429.1744794390565,0.0,1244.8504388321692,494.95149475351417,0.0,272.92171844433443,105.45641511911067,0,459.8348348348348,175.593395932379,0,865,435,0,281,107,0
350540,Barra do Turvo,35055,Registro,3514,Litoral Sul Paulista,7302.5,55.0,45.0,406.5,2905.0,18.0,1.0352618966107496,5.566586785347484,0.2464909277644642,75.6,0,17.5,1.6,94.8,1.0,0.75,0.75,0.2,0.4,0.62,62.0,677.859375,739,8.27,76.3,0.630879122743,84.2927257153914,0.35,0.34,0.13,0.14,24.000000000000004,7,8,7,1,52.377138797725,59.1682285843188,24.5525587589927,3.80807311500381,153.767298821117,127.746550843127,64.2590926616116,38.0807311500381,41,46,19,3,8,5,0,5,1,6,0,5,1,34.30828568323532,12.208409815404444,Alta,Medio,Alta,Medio Clima / Alta Biodiv,Q4_Desarrollo,16.0,29.0,15.98396084078006,132.0,160.0,2763.1,10.0,1.0,0.5825888105878985,0.75,10.0,45.02953258094908,363.3519079368893,235.38633699447283,0.0,483.0917874396135,406.6640430276794,0.0,156.4187056993589,95.552742153021,0,196.7729240456513,130.08976193573565,0,281,182,0,121,74,0
350925,Cajati,35055,Registro,3514,Litoral Sul Paulista,28443.5,23.1,76.9,1072.0,14047.0,17.0,0.2538365531668043,3.768875138432331,0.0597676094714082,72.2,61,9.2,2.3,83.2,0.67,0.63,0.25,0.8,0.6,0.5900000000000001,59.00000000000001,687.527397260274,751,8.45,60.5,0.79226896465,86.2075342309828,0.61,0.62,0.75,0.53,57.49999999999999,10,8,10,1,341.223470517809,7.65865306756015,18.5143569679714,0.353269509308652,1755.05007054613,20.7497579194909,32.1154099371501,3.53269509308652,980,22,53,1,10,8,1,10,1,8,1,8,1,14.667999231155438,6.637118789000853,Alta,Alto,Media,Alto Clima / Alta Biodiv,Q1_Modelo,5.333333333333333,14.0,11.384338624338625,44.6,48.0,613.0,9.0,0.9,0.7441175562369162,0.6458333333333334,5.0,33.01409400888663,469.1822828636696,581.3475850008086,0.0,581.6457577506081,925.7028803468804,0.0,170.17276554765226,73.1921671259825,0,231.18147745980596,118.86033910155568,0,1343,1664,0,487,210,0
352460,Jacupiranga,35055,Registro,3514,Litoral Sul Paulista,16652.5,34.3,65.7,581.5,8965.0,15.0,0.4599909923434919,3.4919681729470047,0.0900765650803182,76.6,21,5.6,1.4,93.9,0.67,0.38,0.5,0.6,0.2,0.47,47.0,659.868778280543,730,9.61,71.0,0.637360243448,80.72958251282178,0.52,0.45,0.44,0.48,46.5,9,5,10,2,1383.80475690391,4.00793535187442,24.3202143968186,1.13934558916796,11853.2666704118,17.420591138726,56.1766192910511,5.80686371290866,2457,7,43,2,10,5,1,9,1,5,2,5,1,19.205492206593117,16.527986447310827,Media,Alto,Media,Alto Clima / Media Biodiv,Q4_Desarrollo,3.125,10.0,9.215,18.2,25.0,251.0,8.0,0.8,0.9741809746800496,0.56,5.0,27.945804330469848,416.380711483172,321.6321078176686,0.0,537.333482592634,408.5973357214822,0.0,168.71833612262466,74.25228789866,0,229.79486604640732,117.31037803855877,0,735,567,0,297,131,0
353620,Pariquera-Açu,35055,Registro,3514,Litoral Sul Paulista,18839.5,25.8,74.2,841.5,10567.0,123.5,0.3609437617771172,4.466679051991826,0.6555375673452056,68.0,27,12.7,1.8,94.1,0.33,0.63,1.0,0.4,0.4,0.5519999999999999,55.2,678.358974358974,714,4.99,64.6,0.600520542687,84.39167429879282,0.52,0.53,0.7,0.39,46.0,10,4,10,2,685.497010178954,2.09153257357586,81.0515475194702,1.60251528279871,5254.95088102292,5.40306894315971,191.551045765169,10.9152907942621,1316,4,156,3,10,6,0,10,2,4,2,4,0,18.389608416292216,18.151744113608235,Alta,Alto,Media,Alto Clima / Alta Biodiv,Q4_Desarrollo,2.111111111111111,4.0,9.125925925925928,38.5,19.0,181.7,9.0,0.9,0.4993069989739546,0.631578947368421,9.0,30.14659413344613,778.4829448049966,772.3272853196854,0.0,1009.6643984692398,1107.6291333477411,0.0,203.7796234189776,96.85258434688718,0,259.3473092716663,118.61172708988704,0,1487,1473,0,390,186,0
352215,Itaoca,35044,Capão Bonito,3511,Itapetininga,3325.0,53.1,46.9,172.5,1064.5,0.5,2.2947368421052627,5.18796992481203,0.0150375939849624,76.3,0,43.5,2.0,57.7,1.0,0.38,1.0,0.2,0.2,0.556,55.60000000000001,675.983870967742,730,7.4,52.2,0.946309786576,83.92127114119683,0.4,0.32,0.37,0.37,34.5,2,10,1,0,17.9892154644297,136.628369152711,2.999400119976,0.0,119.868145040456,240.096038415366,29.99400119976,0.0,6,45,1,0,3,0,0,0,0,2,0,1,0,40.22108684951454,16.863768668172032,Alta,Alto,Alta,Alto Clima / Alta Biodiv,Q4_Desarrollo,3.0,5.0,12.685208333333334,28.9,24.0,289.9,8.0,0.8,0.4364357804719847,0.8333333333333334,5.0,28.4245142150477,629.1114065395204,796.4000791374332,0.0,961.5384615384615,990.3961584633852,0.0,317.797287383423,84.64011120974689,0,511.1244738424534,120.04801920768308,0,208,263,0,105,28,0
354280,Ribeira,35044,Capão Bonito,3511,Itapetininga,3245.0,46.8,53.2,111.5,1730.0,1.0,2.274268104776579,3.436055469953775,0.0308166409861325,73.8,0,23.8,2.6,48.0,0.0,0.75,0.5,0.2,0.6,0.41,41.0,652.363636363636,701,6.94,60.2,0.541969004288,79.24314513542086,0.33,0.32,0.19,0.2,26.0,3,10,1,0,17.6491052631316,145.377565062844,2.91800408520572,0.0,117.370892018779,294.204177699323,29.1800408520572,0.0,6,49,1,0,3,1,0,1,0,3,0,1,0,34.282947889855016,17.892355601698682,Media,Medio,Alta,Medio Clima / Media Biodiv,Q4_Desarrollo,4.666666666666667,9.0,12.802376543209878,83.4,42.0,600.0,9.0,0.9,0.6060915267313265,0.5714285714285714,8.0,32.73343341982977,601.4001634329256,709.0801583707545,0.0,941.4533686378346,1137.7245508982037,0.0,328.8290996217795,88.7999905171898,0,500.1471020888497,146.71361502347418,0,203,239,0,111,30,0
352265,Itapirapuã Paulista,35044,Capão Bonito,3511,Itapetininga,4093.0,54.8,45.2,86.5,2124.5,0.0,2.1475690202785245,2.1133642804788666,0.0,87.9,0,0.0,2.1,84.1,0.0,0.25,0.25,0.2,0.2,0.18,18.0,636.658914728682,678,6.1,46.2,0.653110451004,76.13273290093865,0.4,0.39,0.21,0.21,30.0,3,7,0,0,9.5979622657289,33.6582316100078,0.0,0.0,48.3675937122128,141.476066965338,0.0,0.0,4,14,0,0,3,0,0,0,0,3,0,0,0,33.445823491014366,4.097384812764641,Media,Alto,Alta,Alto Clima / Media Biodiv,Q3_Vulnerable,2.6666666666666665,6.0,13.055555555555555,27.6,16.0,224.6,6.0,0.6,0.6982120021884471,0.5625,3.0,22.228026179417316,374.8886498604172,460.1089077227512,0.0,589.4836123555765,648.8824801730353,0.0,189.9727427922678,78.0391316973655,0,306.5314784248998,189.8884405411821,0,153,188,0,78,32,0
354260,Registro,35055,Registro,3514,Litoral Sul Paulista,57104.0,12.7,87.3,2423.0,32357.5,73.5,0.1259106192210703,4.243135332025778,0.1287125245166713,71.9,166,11.5,2.0,90.9,0.67,0.38,0.75,0.8,0.8,0.68,68.0,677.201754385965,716,5.42,55.6,0.672104769324,84.16248009556523,0.73,0.77,0.78,0.4,58.5,10,1,10,6,743.661800683521,0.710202052483932,21.5713845308216,1.43976128119569,4335.12107335673,7.10202052483932,33.7345974929868,3.68066546431595,4138,4,120,8,10,6,1,10,6,1,6,1,1,11.406078632658884,10.170042116973898,Alta,Alto,Baja,Alto Clima / Alta Biodiv,Q1_Modelo,4.8,10.0,12.3915,40.2,48.0,607.0,10.0,1.0,0.6117420984873677,0.7083333333333334,10.0,35.76846210180942,513.7944836853918,458.4542222748846,0.0,607.2227548737616,562.8351265935158,0.0,195.388186622277,88.8358472092285,0,225.78179167629648,133.26226012793177,0,2855,2547,0,1088,495,0
