cod,municipio,2014,2015,2016,Total
350010,350010 ADAMANTINA,39,1140,100,1279
350020,350020 ADOLFO,3,119,119,241
350030,350030 AGUAI,502,2514,26,3042
350040,350040 AGUAS DA PRATA,5,336,2,343
350050,350050 AGUAS DE LINDOIA,11,165,27,203
350055,350055 AGUAS DE SANTA BARBARA,7,16,2,25
350060,350060 AGUAS DE SAO PEDRO,90,31,6,127
350070,350070 AGUDOS,21,776,52,849
350075,350075 ALAMBARI,8,19,4,31
350080,350080 ALFREDO MARCONDES,14,33,33,80
350090,350090 ALTAIR,2,72,11,87
350100,350100 ALTINOPOLIS,2,75,26,103
350110,350110 ALTO ALEGRE,1,68,5,74
350115,350115 ALUMINIO,9,204,28,241
350120,350120 ALVARES FLORENCE,33,34,24,91
350130,350130 ALVARES MACHADO,17,354,473,844
350140,350140 ALVARO DE CARVALHO,1,35,1,37
350150,350150 ALVINLANDIA,0,30,3,33
350160,350160 AMERICANA,9048,7550,1102,17708
350170,350170 AMERICO BRASILIENSE,89,755,179,1023
350180,350180 AMERICO DE CAMPOS,63,69,14,146
350190,350190 AMPARO,273,6755,36,7064
350200,350200 ANALANDIA,3,126,4,134
350210,350210 ANDRADINA,51,1855,1438,3344
350220,350220 ANGATUBA,1,214,131,346
350230,350230 ANHEMBI,0,116,3,119
350240,350240 ANHUMAS,0,102,91,193
350250,350250 APARECIDA,107,1537,54,1698
350260,350260 APARECIDA D'OESTE,50,229,113,392
350270,350270 APIAI,0,28,7,35
350275,350275 ARACARIGUAMA,18,235,18,271
350280,350280 ARACATUBA,1880,1736,752,4369
350290,350290 ARACOIABA DA SERRA,47,504,24,575
350300,350300 ARAMINA,1,8,26,35
350310,350310 ARANDU,0,6,0,6
350315,350315 ARAPEI,0,95,2,97
350320,350320 ARARAQUARA,1697,5537,1878,9112
350330,350330 ARARAS,134,2742,412,3288
350335,350335 ARCO-IRIS,5,14,5,24
350340,350340 AREALVA,6,360,19,385
350350,350350 AREIAS,5,11,5,21
350360,350360 AREIOPOLIS,2,461,2,465
350370,350370 ARIRANHA,1,221,21,243
350380,350380 ARTUR NOGUEIRA,110,982,161,1253
350390,350390 ARUJA,236,1522,211,1969
350395,350395 ASPASIA,9,50,8,67
350400,350400 ASSIS,982,4768,134,5884
350410,350410 ATIBAIA,1361,1014,112,2487
350420,350420 AURIFLAMA,60,230,125,415
350430,350430 AVAI,152,373,1,526
350440,350440 AVANHANDAVA,17,143,29,189
350450,350450 AVARE,3,267,13,283
350460,350460 BADY BASSITT,41,914,271,1226
350470,350470 BALBINOS,0,22,2,24
350480,350480 BALSAMO,7,395,93,495
350490,350490 BANANAL,7,397,11,415
350500,350500 BARAO DE ANTONINA,6,4,0,10
350510,350510 BARBOSA,37,131,9,177
350520,350520 BARIRI,222,121,7,350
350530,350530 BARRA BONITA,79,90,24,193
350540,350540 BARRA DO TURVO,2,12,12,26
350550,350550 BARRETOS,50,834,1383,2267
350560,350560 BARRINHA,28,182,404,614
350570,350570 BARUERI,890,6455,55,7400
350580,350580 BASTOS,26,466,92,584
350590,350590 BATATAIS,17,592,4265,4874
350600,350600 BAURU,410,8555,1403,10368
350610,350610 BEBEDOURO,675,6347,101,7123
350620,350620 BENTO DE ABREU,12,16,19,47
350630,350630 BERNARDINO DE CAMPOS,3,66,3,72
350635,350635 BERTIOGA,742,557,812,2111
350640,350640 BILAC,47,215,344,606
350650,350650 BIRIGUI,3867,4579,4803,13251
350660,350660 BIRITIBA-MIRIM,5,39,36,80
350670,350670 BOA ESPERANCA DO SUL,805,123,41,969
350680,350680 BOCAINA,56,81,11,148
350690,350690 BOFETE,2,17,43,62
350700,350700 BOITUVA,2,906,20,929
350710,350710 BOM JESUS DOS PERDOES,24,429,8,461
350715,350715 BOM SUCESSO DE ITARARE,2,3,2,7
350720,350720 BORA,1,37,2,40
350730,350730 BORACEIA,18,34,51,103
350740,350740 BORBOREMA,12,577,123,712
350745,350745 BOREBI,0,7,0,7
350750,350750 BOTUCATU,20,751,106,877
350760,350760 BRAGANCA PAULISTA,298,693,249,1240
350770,350770 BRAUNA,37,179,20,236
350775,350775 BREJO ALEGRE,24,18,20,62
350780,350780 BRODOWSKI,13,316,356,685
350790,350790 BROTAS,218,267,17,502
350800,350800 BURI,0,231,4,235
350810,350810 BURITAMA,1566,823,589,2978
350820,350820 BURITIZAL,0,2,89,91
350830,350830 CABRALIA PAULISTA,0,104,4,108
350840,350840 CABREUVA,22,264,112,398
350850,350850 CACAPAVA,301,1224,62,1587
350860,350860 CACHOEIRA PAULISTA,21,465,49,535
350870,350870 CACONDE,12,106,14,132
350880,350880 CAFELANDIA,29,226,48,303
350890,350890 CAIABU,2,25,43,70
350900,350900 CAIEIRAS,232,524,77,833
350910,350910 CAIUA,11,27,27,65
350920,350920 CAJAMAR,257,3395,301,3953
350925,350925 CAJATI,5,37,42,84
350930,350930 CAJOBI,93,169,67,329
350940,350940 CAJURU,4,887,28,919
350945,350945 CAMPINA DO MONTE ALEGRE,3,16,10,29
350950,350950 CAMPINAS,42763,66768,3508,113040
350960,350960 CAMPO LIMPO PAULISTA,1101,1030,25,2156
350970,350970 CAMPOS DO JORDAO,9,11,30,50
350980,350980 CAMPOS NOVOS PAULISTA,4,32,4,40
350990,350990 CANANEIA,20,186,31,237
350995,350995 CANAS,7,78,22,107
351000,351000 CANDIDO MOTA,113,4342,52,4507
351010,351010 CANDIDO RODRIGUES,0,33,75,108
351015,351015 CANITAR,12,26,2,40
351020,351020 CAPAO BONITO,21,115,12,148
351030,351030 CAPELA DO ALTO,7,68,46,121
351040,351040 CAPIVARI,34,1224,314,1572
351050,351050 CARAGUATATUBA,2592,5739,168,8499
351060,351060 CARAPICUIBA,3249,2468,132,5850
351070,351070 CARDOSO,87,57,9,153
351080,351080 CASA BRANCA,2201,837,78,3117
351090,351090 CASSIA DOS COQUEIROS,1,4,26,31
351100,351100 CASTILHO,46,604,560,1210
351110,351110 CATANDUVA,519,10811,133,11463
351120,351120 CATIGUA,8,251,9,268
351130,351130 CEDRAL,8,493,159,660
351140,351140 CERQUEIRA CESAR,4,22,0,26
351150,351150 CERQUILHO,1,240,14,255
351160,351160 CESARIO LANGE,7,64,19,90
351170,351170 CHARQUEADA,27,110,11,148
351190,351190 CLEMENTINA,61,45,16,122
351200,351200 COLINA,71,587,34,692
351210,351210 COLOMBIA,10,202,41,253
351220,351220 CONCHAL,6,2291,38,2335
351230,351230 CONCHAS,12,821,3,836
351240,351240 CORDEIROPOLIS,49,660,8,717
