municipio,2013,2014,2015,2016,Total,cod
350010 ADAMANTINA,0,39,1140,100,1279,350010
350020 ADOLFO,0,3,119,119,241,350020
350030 AGUAI,0,502,2514,26,3042,350030
350040 AGUAS DA PRATA,0,5,336,2,343,350040
350050 AGUAS DE LINDOIA,0,11,165,27,203,350050
350055 AGUAS DE SANTA BARBARA,0,7,16,2,25,350055
350060 AGUAS DE SAO PEDRO,0,90,31,6,127,350060
350070 AGUDOS,0,21,776,52,849,350070
350075 ALAMBARI,0,8,19,4,31,350075
350080 ALFREDO MARCONDES,0,14,33,33,80,350080
350090 ALTAIR,2,2,72,11,87,350090
350100 ALTINOPOLIS,0,2,75,26,103,350100
350110 ALTO ALEGRE,0,1,68,5,74,350110
350115 ALUMINIO,0,9,204,28,241,350115
350120 ALVARES FLORENCE,0,33,34,24,91,350120
350130 ALVARES MACHADO,0,17,354,473,844,350130
350140 ALVARO DE CARVALHO,0,1,35,1,37,350140
350150 ALVINLANDIA,0,0,30,3,33,350150
350160 AMERICANA,8,9048,7550,1102,17708,350160
350170 AMERICO BRASILIENSE,0,89,755,179,1023,350170
350180 AMERICO DE CAMPOS,0,63,69,14,146,350180
350190 AMPARO,0,273,6755,36,7064,350190
350200 ANALANDIA,1,3,126,4,134,350200
350210 ANDRADINA,0,51,1855,1438,3344,350210
350220 ANGATUBA,0,1,214,131,346,350220
350230 ANHEMBI,0,0,116,3,119,350230
350240 ANHUMAS,0,0,102,91,193,350240
350250 APARECIDA,0,107,1537,54,1698,350250
350260 APARECIDA D'OESTE,0,50,229,113,392,350260
350270 APIAI,0,0,28,7,35,350270
350275 ARACARIGUAMA,0,18,235,18,271,350275
350280 ARACATUBA,1,1880,1736,752,4369,350280
350290 ARACOIABA DA SERRA,0,47,504,24,575,350290
350300 ARAMINA,0,1,8,26,35,350300
350310 ARANDU,0,0,6,0,6,350310
350315 ARAPEI,0,0,95,2,97,350315
350320 ARARAQUARA,0,1697,5537,1878,9112,350320
350330 ARARAS,0,134,2742,412,3288,350330
350335 ARCO-IRIS,0,5,14,5,24,350335
350340 AREALVA,0,6,360,19,385,350340
350350 AREIAS,0,5,11,5,21,350350
350360 AREIOPOLIS,0,2,461,2,465,350360
350370 ARIRANHA,0,1,221,21,243,350370
350380 ARTUR NOGUEIRA,0,110,982,161,1253,350380
350390 ARUJA,0,236,1522,211,1969,350390
350395 ASPASIA,0,9,50,8,67,350395
350400 ASSIS,0,982,4768,134,5884,350400
350410 ATIBAIA,0,1361,1014,112,2487,350410
350420 AURIFLAMA,0,60,230,125,415,350420
350430 AVAI,0,152,373,1,526,350430
350440 AVANHANDAVA,0,17,143,29,189,350440
350450 AVARE,0,3,267,13,283,350450
350460 BADY BASSITT,0,41,914,271,1226,350460
350470 BALBINOS,0,0,22,2,24,350470
350480 BALSAMO,0,7,395,93,495,350480
350490 BANANAL,0,7,397,11,415,350490
350500 BARAO DE ANTONINA,0,6,4,0,10,350500
350510 BARBOSA,0,37,131,9,177,350510
350520 BARIRI,0,222,121,7,350,350520
350530 BARRA BONITA,0,79,90,24,193,350530
350540 BARRA DO TURVO,0,2,12,12,26,350540
350550 BARRETOS,0,50,834,1383,2267,350550
350560 BARRINHA,0,28,182,404,614,350560
350570 BARUERI,0,890,6455,55,7400,350570
350580 BASTOS,0,26,466,92,584,350580
350590 BATATAIS,0,17,592,4265,4874,350590
350600 BAURU,0,410,8555,1403,10368,350600
350610 BEBEDOURO,0,675,6347,101,7123,350610
350620 BENTO DE ABREU,0,12,16,19,47,350620
350630 BERNARDINO DE CAMPOS,0,3,66,3,72,350630
350635 BERTIOGA,0,742,557,812,2111,350635
350640 BILAC,0,47,215,344,606,350640
350650 BIRIGUI,2,3867,4579,4803,13251,350650
350660 BIRITIBA-MIRIM,0,5,39,36,80,350660
350670 BOA ESPERANCA DO SUL,0,805,123,41,969,350670
350680 BOCAINA,0,56,81,11,148,350680
350690 BOFETE,0,2,17,43,62,350690
350700 BOITUVA,1,2,906,20,929,350700
350710 BOM JESUS DOS PERDOES,0,24,429,8,461,350710
350715 BOM SUCESSO DE ITARARE,0,2,3,2,7,350715
350720 BORA,0,1,37,2,40,350720
350730 BORACEIA,0,18,34,51,103,350730
350740 BORBOREMA,0,12,577,123,712,350740
350745 BOREBI,0,0,7,0,7,350745
350750 BOTUCATU,0,20,751,106,877,350750
350760 BRAGANCA PAULISTA,0,298,693,249,1240,350760
